,review,score
0,안녕하세요 인시디어스 보다가 팝콘 쏟고 컨저링 보다가 팝콘 쏟은 사람인데요 라이트아웃 보고 팝콘 다 쏟았는데 앞에서 쏟은게 뒤로 와서 역시 이번에도 부족함 없이 먹고 나왔습니다,10
1,안녕하세요 메가박스 알바생인데요 바닥에 떨어진 팝콘 치우기 힘들어요 정도껏 떨어뜨려주세요,10
2,엄마 누진세 내가낼께불키고 자자,10
3,평식이 한줄평 예상  시덥잖게 불끄기는,9
4,영화본날 비가와서 다행이에요 살짝 지렸는데 티가 안나서 다행이에요,9
5,머야 재미없네 오늘은 엄마랑 자야지,10
6,무서운데 결말이 너무 허무해,5
7,닭꼬치를 정말 맛있게 먹으면서 영화를 보는데 깜짝놀라는 장면이 너무 많이 나와서 옆사람을 꼬치로 찌를뻔 했네여 근데 재미있어여,10
8,극장에서 옆사람 놀라는게 더신경쓰임,10
9,마지막이 허무했는데 그 남자친구가 차 라이트 비추는 거 나만 웃긴가 ㅋㅋㅋㅋ,8
10,뒤에서 팝콘을 쏟길래 짜증났는데 제 머리가 팝콘되있었네요,10
11,이건 호러영화가 아니고 액션영화다 다이애나는 정전시키기 할퀴기 놀래키기 등을 시전하는 어둠속 최고의 파이터다,5
12,아직도 귀신얼굴이 궁금합니다,10
13,이거 여자친구 무서워하는 귀여운 모습 보려고 같이가지마세요 고막찢어져요 저는 지금 귀에피나네요,10
14,정부의 누진세를 열렬히 비판한 영화,10
15,충분히 긴장감있고 공포감도 있는데 솔직히 기대이하컨저링보다 훨씬 안무서움결말 부분엔 뭐야 이렇게 끝나나라는 생각이 들 정도로 허무,7
16,개봉하기 전에 심야영화로 해주길래 봤었는데 참신한 아이디어로 사람 놀래키고 특히 소리가 압권,9
17,ㅋㅋㅋㅋ 자동차 삑삑 에서 터졌다,10
18,하막 보고 나왔습니다 존나 무서워요 레알 ㅠ 살먹고 남자새기가 소리나 지르고 나왔습니다ㅠㅠ,10
19,전등 하나로 모든걸 표현,10
20,영화도 소름돋지만 포스터만든 사람이 더 소름돋음,10
21,잘 보는데 갑자기 띡 끝나버리냐,7
22,자동차가 신의 한수였다,10
23,영화가 짧아서다행이지 길었으면 진짜개무서웠을듯,10
24,다이애나보고 발락수녀님은 귀여워보인다,10
25,빛의 소중함을 깨닫게 해준 영화,10
26,여친한태 무서움타는 남자로 이미지깍겨서 점,10
27,아 베스트 댓글들 왤케 다 웃기냐ㅋㅋㅋ,10
28,개인적으로 결말이 다소 아쉬웠지만 그걸 다 씹어버리는 몰입도 공포영화 이렇게 몸이 오그라들면서 본것도 오랫만인듯합니다,10
29,결말이아쉬워요 좀 아쉽다,8
30,같이 본 친구는 한시간 동안 자기 손바닥만 구경했습니다,8
31,연하 썸남이랑 손 잡아서 구점 드립니다 ,9
32,여자혼자서 심야영화 시분꺼 보고오자마자 로그인하게 만드네여  진짜 집중도 집중이지만 영화가 왜이렇게 짧게느껴지는지 모르겠음컨져링보는데 닭살한번안돋았지만 이영화보고 소름 번넘게 돋았음 진짜 무섭고,10
33,다소 영화가 좀더 길었으면 하는 아쉬움이,10
34,내가 장담하는데 컨저링 보다는 무섭다 진짜임 안무섭다는 댓글보고 낚이지마셈,9
35,컨저링랑 비교해서 죄송한데요 라이트아웃이 더 심장쫄깃하고 무섭고 재밌습니다 강추드립니다 알바생아닙니다 방금영화보고왔습니다 정말 새로운 소재의 공포영화라생각되네요 보다가 팝콘가지고장난치다 쏫을수 있으니 주,10
36,재미있게 잘 보았습니다깔끔한 전개가 참 좋았습니다,10
37,짧고 굵근 영화 만족합니다,10
38,끝이허무하다허무허무허무,5
39,밤에 불을 끄기가 진짜무섭다,10
40,수준높은 공포체험,10
41,단편공포영화인데 그렇게 결말이 중요한가요 저는 충분히 공포영화스러웠다고 생각합니다 ㅋㅋ,9
42,더 잘 만들 수 있었을텐데 아쉬운감이 있는 영화,7
43,와 불 꺼지고 켜질 때 그 스릴감 잊을수가 없다 진짜 재밌게 봤네,8
44,하하 진짜 이영화 개노답이다내가이걸 왜봤을까 너무 무섭잖아 개무섭네 참나 어이가없어서,7
45,정말 공포영화 많이 본 사람들이라면 안다 엄청난 명적이다 오프닝부터 엔딩까지 긴장감을 놓을 수 없고 개인적으로 엔딩도 꽤나 만족스럽다 사람들이 공포영화만 보면 왜이렇게 잣대가 엄격해지는지 모르겠다,10
46,이거 보면서 심장에 무리와서 심호흡 한 번함제 친구랑 둘이 팝콘쏟고 중간에 나갈까 고민도 했습니다전 남자엥ㅅ,10
47,아니레알 무서워죽는줄알았네요 혹시 소풍에서 영어로 욕했던 애 하나와 소리지르면서 개새ㅐㄲ야 시ㅂ련이 등 욕하던 애 하나는 저흽니다 죄송해요,10
48,자동차 삑삑소리에서 왜 빵터진거죠죽음의 공포에서 인간은 어떻게든 살려고하는 본능이있죠 그걸 잘 표현한거같은디저는 솔찍히 남친은 처음등장 했을때부터쟤는 죽겠구나 했는데ㅋㅋ자동차 스마트키로 끝까지 살아,10
49,컨저링은 별로 안무서웠는데 저는 이게 훨씬 무서웠어요영화가 짧다고 하는 분들 있는데 너무 무서워서 끝나는게 반가웠네요 과자먹으려고 가져갔는데 하나도 못먹고 바닥에 다 쏟고 긴장해서 봤더니 어깨에 담왔어요,9
50,재밌었는데 친구가 발작일으켜서 점,9
51,제목 그대로 전개되는 상황 불필요한 소리를 제거함으로써 얻어지는 긴장감 이쁜 여배우 숨막힐 듯한 정적 짧으면서 강렬한 임팩트 깔끔하고 개운한 결말 개인적으로 여지껏 본 공포영화 중 최고 추천 두번 추천,10
52,최근 본 공포 영화 중 가장 마음에 들었습니다 컨저링과 같은 급은 아니지만 굉장히 만족스럽습니다 분짜리 동영상을 어떻게 늘리나 싶었는데 소재를 잘 이용했습니다 캐릭터들도 전형적인 공포 영화 인물들이 아닌 것도,8
53,무서운 가운데 여자주인공 미모 존예,9
54,개존잼꼭보세여ㅠㅠㅠ,10
55,아니 이번주 개봉인데 조조시간대에 상영을 거의 안하네한국영화 상영관 독점좀하지마라 길게도 상영한다 진짜,10
56,아니 엄마가 헬프미라고 했는데 왜 쳐 자려고 눕냐고남친의 자동차 라이트 선방은정말기발했다다이애나도 놀란듯여고괴담의전진장면을연상케했지만생각보다무섭지도놀라지도 않았음마지막에 다이애나모습을시원하게한번보여줬으면,1
57,아 진짜 팝콘 있었으면 뒤로 던질뻔 컨저링 무난하게 봐서 아 이정도 쯤이야 하고 봤는데 개무서움ㅠㅠ 별 하나는 결말이 아쉬워서 뺌 그거 빼곤 다 무서움 ㅠㅠ 울뻔 ㅠㅠㅠ,9
58,런닝타임이 짧다 생각도 못하고 몰입해서 보았네요 지지부진한 광고만 요란했던 과거와 현재의 여타의 공포영화들보다 오히려 신선하고 깔끔해서 좋습니다 분도 안되는 원작 단편을 장편으로 잘 만들었네요 마마,10
59,여자친구 안고 보는데 조오온나 깜짝 놀라 침을 머리에 뱉어버렸다,8
60,왜 다이애나냐 이블린으로 해야지,10
61,예고편 같이 봐보자고 보여줬는데 여친이 눈감고 봄 리신인줄,10
62,예고편을 보셨나요 그럼 당장 예매취소 하시길 당신의 지갑을 지켜 드립니다,7
63,시간가는쥴몰를만큼 집중해서봣네요 너무무서워요,10
64,영화보다 중딩단체관람 애들이 더 무섭다ㅎㅏ아무것도아닌것에 크게 소리지르고 무개념애들땜에영화집중을 할수가없어ㅠㅠ,8
65,진짜 적당히 팝콘드립 처라 ㅈㄹ좀하지마라 알바들아,1
66,오랜만에 유년시절을 떠올리며 부모님과 함께 불키고 자게 만들어주는 영화입니다,10
67,자동차 삑삑 소리가 가장 기억에 남는다,10
68,옆사람소리질러더놀램 소재는 흔한그런 불끄면귀신나오고 키면없고 그런뻔한스토리지만 보면서 스릴있고 무서운건뭘까,9
69,컨저링는 솔직히 별로였고 처음 컨저링을 봤었을때 정도의 신선함과 충격을 주는 명작 공포 영화입니다 엔딩 가지고 말이 많은데 미리 런닝타임 시간분이라는 것을 알고 보면 정말 영화가 군더더기 없이 잘 만들었다고,10
70,짧고 굵은 공포영화 근데 경찰관 아줌마도 죽은거냐,10
71,좋아하는 여자랑 봤는데 무서운거 나올때마다 내 손 잡아줘서 좋았음,10
72,여주인공 겁나 이쁘네,10
73,오 뭐야 꽤 무서워 ,8
74,앤딩 허무한거빼곤 몰입도도 좋고 볼만한 영화,9
75,난 컨저링 시리즈보다 이게 훨씬 재밌고 무서웠음,10
76,팝콘은 손잡이에 꽃아놓고 보세요,10
77,으악 퓽 차뿅뿅,10
78,남자친구가 손을 덜덜 떨더라구요 저도 그 손 꽉잡고 봤습니다 결말은 조금은 아쉬웠어요,9
79,처음엔 깜짝깜짝 놀랐는데나중이 좀 웃기더라고요,5
80,역대 최고 무섭 ㅜㅜ 불 끄면 다이애나 언니 나올것 같애  오지마 ,10
81,안그래도 졸라 무서운데 옆에 있는 그녀덕에 한번 더 놀랄수 있었습니다 뚭니야 고마워 네 덕분에 재미가 두배였어 덕분에 팬티도 지렷구,10
82,여자친구랑 사귀고 처음으로 무서운 영화보러왔는데이런그냥 엄마랑 손잡고 보는게 좋을듯엄마의 모성애가 느껴지는 영화임,10
83,친구 팔 끌어안고 봤네요놀라서 허벅지에 올려놨던 폰만 두번떨궜어,9
84,무섭게 만든다기 보다는 놀라게 만드는 쪽이 맞는 영화 제목답게 다양한 조명이 포인트인듯,7
85,긴장감은 최고 여주도 최고 근데 다보고나면 살짝 내가 멀본거지 이느낌,9
86,영화가 너무 짧은데 정말 알차게 재밌네요,9
87,최근 공포영화중 최고 참신한 소재에 지릴수밖에,10
88,컨져링 보다 괜찮았다 여주가 이뻐서 보기 좋다,8
89,내용이 없네요 놀래키기만하고,1
90,이딴 쓰레기영화보고 무섭다는 사람들은 길가다가 개미보고도 놀라겟슈,1
91,너무너무깜짝깜짝놀랫뜸,9
92,돈내고 이걸왜보나 천원주고 보기도 아깝다 평점들이 죄다 거짓이군요,1
93,댓글알바들 한테 낚이지 마라 갑툭튀 밖에 없고 갑툭튀도 안무서움 팝콘도 쏟을일 없다 레알 개연성도 없고 스토리도 쓰레기다 댓글보고 낚이지마라 원 날렸다 차라리 그거 볼바에 마이펫봐라,1
94,평점 후기에 모두 무서워서 팝콘 쏟았어요 이러고 있는데요 제발 이러지 말아요 알바의 전형적인 문구일 것을 알면서도 봤지만정말 재미 도 없습니다 스토리  공포감  스릴 ,1
95,보는내내 어이가 없어서 실소가 나왔어요 어느정도여야지너무 개연성이 떨어져서감독은 자꾸 소리로 놀래킬려고만하고 정말 말도 안되게 아무것도없고 하물며 공포영화인데 무섭지도 않은 그냥 쓰레기입니다,1
96,엔딩은 허무하고 오프닝분은 지린다,7
97,영화 평점을 후하게 주는데솔직히 재미도 없고 그렇게 무섭지도 않아서컨저링 가 훨신 무서웠던거 같아요,5
98,영화가좀더길었으면좋겠다 좀짧음 라이트아웃영화다끝나고바로 화장실갔는데 평일 낮이라 조용한영화관화장실 혼자있으니 불꺼지면 무섭겠다는생각에 화장실무서웠다 라이트아웃 엄마는강하다,10
99,포스터 국내에서 만든게 아닙니다 문구만 씀ㅋㅋㅋㅋ,10
100,서서히 압도당합니다,10
101,영화볼때 팝콘 안먹는사람인데요 덕분에 핸드폰 쥐고있다 던져서 오늘 액정갈러 간답니다,10
102,컨저링보다 별로라는사람도 있는데 제임스완의 제작한 컨저링보단 훨씬재밌었고 공포감도 배였어요 ㅎㅎㅎ 컨저링는 지루한감이있었지만 라이트아웃은 첨부처끝까지 긴장과 공포의연속이랄까 홓 암튼 추천요,10
103,댓글 알바생들 너무많네 컨져링보다 훨씬 퀄떨어짐 리얼하나도안무서움,1
104,오늘 보고왔는데 스토리는 나쁘지않았는데 조금 아쉽네여 컨저링가 라이트아웃보다 좀더 공포스러워요 그래도 팝콘들고 보시면 팝콘 날라갈수되있어요그거 잘놀램소리도그렇고그래서 오늘 엄마랑 잘꺼에요,8
105,진심 이게 어떻게 점대인지 아직도 이해안됨 평점믿고 봤다가 뒤통수 제대로 맞았어요 귀신나올타이밍도 아 이쯤 나오겠구나 하면 나오고 내용전개도 기기기기승전결 ㅋㅋ진심 미확인동영상만큼 재미없었음,1
106,ㅠ 무지 재미있다는 평들보구 엄청기대했는데완전 낚인듯재미도 없고 감동도 없고 기억에 남는 장 면도 없고ㅠ 이게 왜 재미있다고 하는지하품만 하다 나왔네 잉다른거볼껄 후회함,1
107,무서움 없이 깜짝 놀라기만 하는 영화 엄마가 죽는걸로 끝날거면 아빠는 왜 죽었냐 끝이 진짜 허무한 영화 중 위,1
108,진짜 올해 본것중 가장 별로 컨저링 보다 훨씬 안무섭고 맨처음 아빠 죽을때가 제일 무서움 내용도 재미없고,1
109,스토리최악 공포감 조성 최악 그냥 갑툭튀 삼류영화갑툭튀에 놀라긴 함,1
110,재밌게 보고왔음 갑툭튀 주의,10
111,음 소리만 너무 큼 이건 소리 때문에 개 놀람 고막터지겟음ㅡㅡ,5
