,review,score
0,교환 온 스웨덴 친구가 자기네 마을 가자고 하는데 가도 괜찮나요,10
1,배드신보다가 영화관 단체로 터짐,8
2,존윅이 무장한체로 이 마을에 왔다는 가정으로 편이 나왔으면 좋겠습니다 카타르시스 배 는 느낄듯,8
3,지옥에 갔는데 배경이 밝으면 벌어지는 일,10
4,보다가 정신병 걸릴 것 같았음,7
5,감독 대가리에 뭐들었는지 궁금하다,1
6,고어영화 원래 같은 맛에 보는건데 이 영화는 아주 잘 만들어져서 많이 같습니다 그래서 점 드립니다,10
7,이거야 원 무서워서 스웨덴친구 사귀겠나,9
8,밝은 지옥을 보고온 느낌,10
9,절벽 이후 두명 나감 따라 나갈뻔,9
10,느껴져요  아기가 느껴져요 ,1
11,보고나서 어지러워미치겠음 존나 충격적,10
12,유전에는 진짜 악마가 존재했고 미드소마에는 사람 자체가 악마였다,8
13,호불호 확실히 갈릴 거예요 호흡이 느린 걸 안 좋아하는 분들 고어한 장면 못 견디는 분들은 잘 생각해보시고 가세요 유전보다도 더 은유나 암시가 많아서 딱 떨어지는 거 좋아하는 분들도 별로 안 좋아하실 듯,10
14,불안이 광기를 만나 평온을 찾는 끔찍한 이야기,6
15,공황장애있는분들은 절대보지마세요,2
16,무섭다기 보다는 기괴함에서 오는 불편한 느낌,6
17,저 마을에 존윅을 투입해야 합니다,9
18,유전보다 기괴하고 고어틱합니다 이번에는 청불 등급이라 다행이네요 아래 평가에 공감합니다 밝은 지옥에 댕겨온거같아요 오늘 오전 이 시간부터 계속 잔상이 남을듯 영화 속 내포하는것들이 꽤 있는것 같아 다시보고싶,10
19,크레딧 올라갈때 나오는 음악은  의     입니다 모르시는분들이 볼수있게 위로 올려주세요,10
20,마지막 장면에서 경쾌한 음악과 함께 흐뭇하게 보고있는 나 자신을 보고 소름돋았다 처음엔 사이비가 이질감이 들었는데 나중엔 일반인이 더 이질감이든다 사이비종교가 왜 무서운지 어떤것들이 망가지고 무너지는지 잘 표현한 영,8
21,진짜그냥 미친거같다,10
22,데이트할 때 보면 좋은 영화 허허,10
23,근데 예고편에 발이 공중부양하는 씬 있었는데 영화에 있었나요 왜 못본것같지,7
24,이건 미친짓이야 난 여기서 빠져나가야겠어,10
25,사이비종교에 빠지는 심리가 뭔지 엿보이던 영화,8
26,시간이 넘는 동안 천재변태감독이보여주는 지옥행체험영화ㅋㅋ 시사회때봤는데도 장면들이 너무강렬해서 그런지 끝나고나서 아직도 잔상에남음,9
27,아 펠레 어 팰래,10
28,남녀의 성기를 야동이 아닌 극장에서 이렇게 보기는 처음같다,9
29,우리나라의 얼이 담겨있다 강강술래,7
30,영화속 제물중 하나는 관객이었다 된장,1
31,상당히 호불호 갈릴거 같은 영화 아름다운 대낮의 고어영화,8
32,호러를 이렇게 찍다니 감독 천재 아니면 변태다,10
33,이런 영화를 극장에서 볼 수 있었다는 것이 신기하고도 좋았습니다 한번쯤은 경험해봐도 좋은 찬란한 지옥 ㅋㅋ 추천요,10
34,이것만은 확실하다 호불호는 확실히 갈릴 영화 잔인하고 멍하고 피폐한 거 싫어하고 밝은 거 좋아하는 사람은 절대 보지 말기를 개인적으로는 정신적으로 극한까지 휘몰아치는 영화를 보며 얻는 극적 경험 카타르시스를 좋아,10
35,보지마세요 이유가 궁금하면 보세요,1
36,근데 마을사람들이랑 남친 친구가 주인공한테 다정하게 대하고 이해하려하는데 이런 상술은 길거리에서 종교권유하는 사람들이랑 진짜로 말투 똑같습니다 그런식으로 사람 현혹시키는 수법입니다,2
37,유전으로 입지 다지고 미드소마에서는 감독 하고 싶은 거 다 표현한 듯하다 다 떠나서 이런 영화를 앞으로 또 볼 수 있을까 싶음,10
38,유전 믿고 갔다 정신줄 간신히 잡고 극장에서 나왔습니다 오컬트란 이런거군요 왠만한 정신력으로 버티기 힘든 영화입니다 스웨덴 하지제라는 축제라니 와우 절벽 장면과 교접 장면은 충격 그 자체,6
39,정말정말 진심으로 이영화를 보시려는분들께 말씀드립니다 호러도예술도뭣도 아니고 그냥 또라이같고 지루하고 더럽고 정신병걸릴거같은 영화입니다 여러사람들의 시간낭비돈낭비 무엇보다 정신적 피해를 막기 위해 일부러 들어와서,1
40,크리스챤 야마돌게 만드네,10
41,년 사귄 여자친구랑 처음으로 저녁 안먹고 주말데이트 종료했습니다,8
42,실제로 스웨덴에 가서 기이한 의식 체험을 하고 온 기분 이건 제대로 미쳤다,10
43,몸안좋을때 약먹고 소주먹어서 어지럽고 토할것같을때의 불쾌함 문화의 상대성을 어디까지 이해해주는걸까하는 미친주인공들 그럼에도 불구하고 잊혀지지가 않음 강렬함사람들이 왜 집단최면에 걸리고 사이비종교에 의탁하게 되는지 ,6
44,스웨덴 한가위 영화 눈 졸라 아픔,1
45,뭐 교훈도 없고 감동도 없고 의미도 없고 그냥 원시신앙의 병스러움과 시체의 잔인한 장면으로 시선 자극해서 뭐 있어보이려한 영화 여기서 의미를 찾자면 비틀린 원시신앙속에 악마숭배와 그걸 가능케하는 자아도취가 적,1
46,처음으로 후기날린다 멘탈에 해롭다 정신이상해진다,6
47,유전보단 재미없지만 이 감독 특유의 기빨리고 정신 피폐해지는 연출은 여전한듯,8
48,의미를 전달하고자 한거라면 생각자체가 굉장히 미개하고 원시적인 것이며 이를 조금이라도 긍정적으로 바라볼 수 있는 사람은 없길 바람,1
49,캐나다에서 봤는데 일이 지나도 계속 모든 장면이 생각나 살려줘,10
50,아 찝찝해 전혀 무섭지 않아 괴상하기만해 유전 감독이라 기대했는데  영화보는 목적이 스트레스 받는거라고 생각하는 사람은 꼭 보세요 그런 사람들에게 추천,2
51,미드소마 축제 내내 이질감이 들면서 묘한 긴장감이 떠나가질 않았음 여주랑 여자주민들이랑 같이 울때 너무 기괴하고 소름끼쳤음,10
52,너무너무 지루했습니다,4
53,미드소마 요약댄스경진대회 나가서 고인물들 제치고 우승한 여주인공이 마을여왕이되어 남친을 땔감으로 캠프파이어함,7
54,오늘 아침에 보고 왔습니다감독이 자기가 천재라고 착각하며 심각하고 뭔가 있는 척 예술영화인 척하며 찍은 중병 같은 영화 너무 심오해보이려고 해서 오히려 유치하기까지 합니다 예전에 싸이월드에 흔했던 허새 가득한,1
55,살다살다 엉덩이 밀어주는건 첨봤네,8
56,또라이 같지만 내 취향,10
57,감독의 정신상태가 역대급이네요,2
58,정상적인 사람이 분동안 정신병에 걸려볼수있는 정신병 간접 체험 영화 단순한 공포 영화를 찾는거라면 보지 말라고 강력히 권고할 수 있다,7
59,재밌게 보긴 했는데 이런영화를 보는 사람들이 더 늘어나선 안됨,8
60,절대보지마라 돈 아까우면,1
61,도대체 무엇을 보여줄려고 했는지 모르겠음,1
62,새로웠지만 역겨웠어요,7
63,상실의 고통과 불안으로 몸을 가눌 수 없을 때 어쩌면 정상에서 한바퀴 돌아버린 세상이라도 날 따뜻하게 받아준다면  처음엔 변태적 발상과 연출이 신선했는데 산산조각난 마음을 표현,7
64,소재 딱히 신선하지않음 원래는 원시인이었던게 그냥 스웨덴으로 바뀌었을 뿐 그냥 뻔함 그런의미에서 연출은 기가 막혔던거 인정 그 얼마 없는 이야기에 뭔가 있어보이게 만들어줬으니 역겨운 장면 쓸때없이 많고 끝부분,1
65,감독이 존나 신난게 느껴지는 영화,10
66,나쁘지는 않은데 추천드리긴 힘들어요 확실히 대중적인 영화는 아니네요 공포영화라기 보다는 다큐멘터리에 가깝습니다 꼭 보시려거든 친한 사람과는 관람하지 마시고 혼자 보러 가세요,7
67,배드신에서 정말 다들 빵터짐,10
68,내가 뭘 본 걸까 했습니다,1
