,review,score
0,반대 많은 이유가 신천지 때문인거 아시죠,10
1,경찰은 도대체 왜 나온거냐,2
2,결론 사이비 신천지는 없어져야할 존재다 이 세상에선 절대로 있어선 안될 존재들이다,10
3,초반처럼 쌍둥이언니 위주로갓어야 햇다쓸데없이 하나더 만들어서 산으로간느낌특히 무릎베게 노래는 좀 ㅠㅠ,4
4,사바하시바하,1
5,박정민은 더이상 루키가 아니다,10
6,초반은 강렬하나 중후반은 늘어지고 반전은 미약하다 대체 염소는 왜 울고 소는 왜 죽은겨,6
7,호러영화 취향 아니라서 남편 원망하며 봤는데 아주 사회성있고 의미있는 영화 무서운 장면은 모두 은유나 상징 세상의 고통이나 상처를 외면하고그걸 도구삼아 자기의 욕망영생만 쫓는 종교를 비판적으로 그리고 있어,8
8,진실의방 싫어하고 통닭 잘 만드는 조선족 스님,8
9,이정재는 목사가 될 상이었다,10
10,웃긴영화가 아닌데 진선규씨보면 왠지 모르게 웃음이 나옴ㅋㅋ,10
11,재미있긴한데 앞뒤 설정이 뭔가 다른데 영화 개 합쳐놓은 기분이랄까 어느새 사라진 무당 애매모호한 쌍둥이 언니 설정 등등 다윗배우도 비중 높은데 포스터엔 소개나 사진하나 없고,8
12,염소 울음소리랑 소 죽어가는거는 왜 나왔는지단순 공포조장 연출 쌍둥이 언니의 정체는 결국 누구였는지갑자기 미륵이되버림여자애 할머니 할아버지는 정작 중요할 때 어디가고 사라졌는지심지어 할머니는,6
13,아니 중간에 몸때리던 할매랑 걱정하던 할배는 어디갔움,3
14,이제는 믿고보는 박정민 배우의 연기,10
15,영화가 굉장히 난잡한 느낌입니다곡성급이라는 언플이 있던데 글쎄요반도 못따라간거 같습니다,6
16,박정민은 언제 유지태 차 뒷자석으로 순간이동 햇지 드래곤볼인가,1
17,감독의 말처럼 신을 믿지만 의심을 품는 박목사에게서 모태신앙인 나의 모습을 보았다,10
18,티벳이 잘못했네 그말만 안했어도 별일 없었던거쟎아 원 별,2
19,유지태 등장할때 좀 웃겼음 마지막에 그 악귀잡는악신이 박정민에게 라이타를 건네준건가요ㅋㅋㅋ감독님 기다리다 기대하고 봤는데 너무 가신듯초중반까진 몰입감있고 좋았는데 뒤로 갈수록 개연성이 떨어지고 스,1
20,종교 영화에 가깝습니다 검은 사제들이랑은 달라요 감독 특유의 위트는 그대로 가져가고 호러 요소가 강합니다 재밌어요 아쉬운 점이 좀 있는데 그래도 영화 잘됐으면 좋겠어서 만점줍니다,10
21,심오함을 추구하였으나 앗싸라비야 되버림,5
22,신선하고 새로웠지만 너무 난잡했다,4
23,한국 미스터리 스릴러 중 지금까지 없던 새로움 보자마자 한번 더 보고싶다,9
24,조조로 봤습니다 영화가 뭘 말하고싶은지 모르겠고 영화가 다 따로놀고있습니다 예고편보고 낚이지 마세요 예고편이랑 정말 다른 영화입니다 진짜 이 열받는 감정을 표현을 못하겠습니다,1
25,이런류의 영화는 장재현감독이 최고다 검은사제들과는 다른느낌,10
26,초반 소름 개쩔 근데 중후반 부터 걍그럼쌍둥이 언니 후반 극딜 없음,4
27,지루하진 않았는데크게 재미도 없었어요,6
28,철학적인 질문을 담은 공포영화라서 그런지 이해안되면 재미없을수도 있겠다 나는 무릎을 탁 치면서 봤다 종교도 없고 신도 없다고 생각하지만 만약 있다면 선과 악은 누가 구분하는 것이며 그 기준은 절대적인것인지에 ,10
29,여기애들 실제로 영화는 보고 평점다는거냐역대급 분위기 긴장감 오지더라제발 영화보고 평점 달아라,10
30,평점이 생각보다 너무 높네요,1
31,점받을 영화는 아닙니다시간 돈 아까운영화 아니었구요약간의 지루함과 몇몇의 의문점이 남긴 했지만 긴장감있게 잘봤어요,8
32,평점 왜케 높지 장재현 감독 작품이라 엄청 기대하고 갔다가 너무 고전적인 연출이라 실망하고 돌아왔는데ㅠㅠ 게다가 스토리도 엉성하고 지루 열린 결말이라 하기엔 어제 스타라이브톡 보니까 감독도 영화를 백프,1
33,너무 기대를했,6
34,영화가 너무 불친절하다는 느낌을 받았습니다 상징이 많은데 설명을 너무 안하고 뿌리기만 해서 머리 아픈 신파적인 요소도 있구요호불호가 갈릴거라 생각했는데 점이 이렇게 연달아 많이 올라오는 것을 보니 알바를 ,2
35,에휴 꼭 영화보면 뭐가 다 설명이 되야하고 결말이 확고해야하는줄 아는 볼 줄도 모르는 모지리들 천지다 오컬트호러를 내세워 상징적으로 던져지는 의문을 같이 가져보게끔 유도한거를 지가 이해못한다고 짐징거리는 것들 걍 트,10
36,던져놓은 떡밥은 많으면서 하나도 회수는 안한 결말은 개연성이 도없고 형사는 아무쓸모도없으면서 포스터에는 기대되게 나와있고 초반엔 몰입되면서 기대됬으나 가면갈수록 저게왜나오지 스럽다,1
37,도대체 뭘 애기하고 싶은건지 모르겠다 편집도 이상하고 앞뒤가 안맞아,1
38,사바하긴장감은잘끝고같지만 맥이빠져버린,6
39,정말 잘 만든 영화입니다 관람하는 내내 감탄을 금치 못했네요,10
40,콘스탄틴의 액션도 검은 사제의 훈훈한 비주얼도 없습니다 그러나 신은 존재하는가 선과 악의 기준은 무엇인가 등의 인간의 원초적인 질문에 초점을 맞춘 감독의 메시지를 이해하신다면 만족도가 달라지실 겁니다,10
41,초반에는 진짜 집중되고 무섭고 와 진짜 어떻게 끝날까 그래는데 후반부 너무 빈약하고 그저 그랬다 왜 어째서 초반에 그 긴장감을 못끌고간거야 특히 잘때 머리위에 그 장면은 참,6
42,여기 온갖 종교 사람들 다 몰려 와서 점 주는 이유를 극장에 직접 가서 확인하세요 이 영화가 정확히 그들의 무엇을 건드렸는지 알게 될 겁니다 시작부터 끝까지 몰아치는 영화적 매력도 무시무시합니다,10
43,소재나 연출은 좋았는데 뭔가 떡밥회수가 안된느낌이다,7
44,영화 피하셈 제발 댓글들 영화 보고 쓰는 거 맞음 평점 조작ㄷㄷㄷ 스라톡 직접 본 사람으로써 스토리 연출 구성 연기 모두 아쉬운 영화다 박정민 배우 연기만 살아남음 전반은 설명충 후반은 감성팔이충 ,1
45,조잡한반전을 위해 다 갖다버린 영화,1
46,다른건 모르겠고 일단은 잼없다,2
47,그간 없었던 신선한 소재 가볍지않고 생각하게하는 깊은 영화 또 보고싶네요,10
48,초반에는 이정재가 계속 이단을 조사하고 쌍둥이 언니는 문 뒤에 갇혀서 어떤 신묘한 공포감을 잡아내 결말을 기대하며ㅈ긴장감있게 봤는데 후반엔 쌍둥이언니의 그 공포감은 어디간데 없고 사기꾼도 박정민한테 그냥 죽어버리고 ,5
49,최향저격 이런영화 너무좋아합니다ㅋ,10
50,단순한 오컬트물로만 보신분들이 많으신데 이면에 감춰진 여러가지 사회적 메세지를 읽었다면 점을 주는건 말이 안된다고 생각해요 사회적 메세지를 못읽고 점 주면서 이해가 안된다고 하시는분들은 그냥 오락영화들만 보시,9
51,영화 주연중 사건 전개에 필요한 인물은 한명 밖에 없다,4
52,망해서 감독이 다음작품 못찍을까봐줌 한국에 이런장르 감독이다양히 있고 계속발전하길 기대해봄 아쉬운점이없진않지만 스토리도 참신하고 풀어가는과정이흥미있음 시간내서 보러가도 될정도 좋음 끝나고도 계속주변사람들과 영,10
53,하 쓸데없는 장면 너무 많음,3
54,완전 실망입니다 진짜,1
55,단순한 공포물이 아닌 철학적이고 깊은 생각에 잠기게 하는 영화였습니다,8
56,ㅠㅠ 이야기가 산으로가서 해석하는 재미도 없고ㅠ,1
57,정말 재밌었다 선입견에 관한영화같다이해안된다는 사람이 이해불가 떡밥 다 던져주고 다 정리해서 메시지를 전달해 주는데 그걸 못알아들어게다가 기독교중심에 불교랑 사이비종교 까는거라고이건 기독교,10
58,음이게 과장홍보아님,1
59,아놔 씨이번년도 함정을 두개나 밟네 해피데스데이 사바하알바들 개 판을치네 빡친다,2
60,나름 잘 만들어진 오컬트 영화 입니다 공포보다는 종교적 스릴러에 가까움 기독교 불교의 교리와 종교의 의미에 대해 생각해 볼 수 있습니다,10
61,왜봤나 이걸ㅎ ㅏ,1
62,현재 종교는 없지만 모태신앙이였던 내게 흔들림을 주었다,10
63,오늘개봉하고 난지금조조로 보고잇는데 댓글알바들이 나보다더일찍영화를봣나봐평점이다달려잇네ㅡㅡ신기하다 조조첫영환데 아직영화가 끝나지도않앗는데 댓글이왜이래많지이영화보는중에 평점달기는 첨이다진짜 재미없다,2
64,지루하고 재미없어요,2
65,이 영화를 만들기 위해 얼마나 많은 연구를 하고 공을 들였을지 상상조차 안 된다,8
66,자기 이해안간다고 점주는 인간들은 뭐지,10
67,할머니 할아버지 어디갔냐고 떠드는 무식이들 많은데 그 일이 있던 날은 크리스마스였다 할머니는 기독교광신도였으니 교회갔을거라고 추론할수있고 할아버지는 영화에서 친절하게 개팔러 트럭몰고 나가는 장면도 보여준다 개연성 타,10
68,개인적으로 전혀 난해하지 않았다 굳이 곡성과 비교하자면 훨씬 더 명백한 느낌 이정재가 관찰자의 입장으로 사건의 근원을 따라가며 설명해 줍니다 풍부한 배경지식과 실제 사건들에 대한 조사를 바탕으로 탄탄하게 잘 짜,10
69,무서운거못봐서 눈가리고 귀막고 봤는대도 이해가 어느정도되는ㄷ 이해할려하지도않고 이해안댄다는넘들 도대체 머하는샤기들이냐 ㅋㅋ난 그것이 년간 매일밤마다 우는소리가 소녀들이 죽을때마다 같이 울어주는 소리인거라는걸 듣자,10
70,ㅋㅋㅋㅋ어디에도 댓글알바 빠지지 않는구나 영화보면 고급지다 깊이있다 말 안나오거든여 겉적으로만 화려한척했지 허술 그 자체임 어우 평점 눌렀다가 번 실망했네 주작질로 흥행하겠군 결말 폭망 노잼인데,1
71,쌍둥이로 태어난 귀신 초반 스토리는 좋았으나 미륵이 되어버린다,4
72,알바들 왜케 많아ㅡㅡ지루해서원야억지설정 감독왜케 홍보못해서 안달본달했나보니 자신이없었음,1
73,사바하 언니의 사랑,10
74,재미있는데 평점을 보면서 느낀것은 이제 사람들이 생각하는걸 싫어하는 것 겉다는 거 단순하고 친절한 전개만을 요구하는 것 같다 뒷부분이 조금 아쉽긴하지만 신선하고 아주 잘 만든 영화임엔 틀림없다,10
75,점도 아깝다 불티나 보고 웃겨죽는줄알았음 감독도 문제지만 하라고한다고 그렇게찍은 배우들도 문제인것같음 유지태죽을때 보고 년전 우뢰메보다못하다고 생각이들지ㅋㅋㅋ,1
76,기대가 넘 컸던 탓에 조금 실망스러움 분명 영화보다가 화장실을 가지도 않았고 졸지도 않았는데 왜 걔는 이정재 부축받고 이정재 차에 있다가 유지태 차로 옮겨진건가요 제가 놓친 부분이 있나요,5
77,년만에 처음으로 영화보다 졸지도 않고 잤다 솔직히 넘 루즈하구 결말만 보면 되는영화,4
78,개연성 부족반대하는 사람들 신천지로 몰아가는 댓글은 또 뭐냐 나도 신천지 싫어하는데 이 영화는 그냥 재미없다,1
79,뭐 이딴 년대 어설픈 공포 영화를전형적인 용두사미,1
80,오프닝부터 빨려 들어가는 느낌 마지막까지 몰입감 장난 아니였음,9
81,근래 한국영화중 탑급의 영화 영화 속에 상징성과 음악 연출 모두 과감하고 내용하나하나에 우리 스스로 곱씹우서 생각할만한 소재들이 있음그리고 그놈에 한국식 신파같은거 없음,9
82,뭐가 선이고 뭐가 악인가,10
83,이영화를 이해못하는사람들이 재미없다고 하는듯 떡밥 안말해준다고 투덜거리는사람들영화보면 배우들 대사에 다담겨있고 여운이남는 영화 신선하고 재미있게 봤어요 근데 생각보다 쪼금 무서워서 놀래긴햇네용 ㅜㅜ 이해 하면 할수,10
84,난 재미있었는뎅 근데 혼자서 다 이해는 못해서 나중에 해석해주는거 보고 다시 볼것같음ㅋㅋ 곡성이랑 검은사제들 그사이 어딘가의 느낌 넘 좋았음 배우분들도 연기 너무 잘하시고 괜찮게 봤음,10
85,차라리 유지태 빼고 괴물소녀 빼고사이비 교단의 대략학살 저지 스릴러가더 깔끔하지 않았겠니,5
86,헬 조선 영화는 절대 당일에 보는게 아니다 개봉하고 일주일 지난 평점이 정확하다,1
87,이렇게 신선할 수가 전 재밌게 봤어요 박서준 나온 사자보다 훨씬 나음 ㅠ,10
88,보고 댓글들 남기는건가ㅋㅋㅋ,1
89,기독교 애들이 평점 테러를 했나 겨우 평점이 라니 최소 는 나와야 하는 영화,10
90,선과 악의 경계는 모호하다는 주제가 영화를 관통한다 성불했던 제석이 털옷을 뒤집어쓴 뱀이 되어가는 모습과 털가죽을 벗은 그것이 관객에게 이를 확인시켜준다,10
91,탄탄하게 시간과 공들여 전개하다가 마무리는 시간 모자라 후딱 끝낸느낌,6
92,평점을 쭉 보니까 재미없다는 사람은 그냥 영화를 제대로 이해하지 못한 사람들이다,8
93,오컬트 영화지만 종교인 무교인 상관없이 삶에 대해 시사하는 바가 많습니다 그리고 그렇게 불친절한 영화가 아닙니다 오히려 불친절한건 곡성이 더 했지  사바하는 해안스님 박목사가 다 설명해줘요 개인적으로 지금,10
94,와ㅡ이거완전 걸작인데요 스토리 연기 메타포활용 박진감 다 대박인데 평점이낮아서 속상하네요 곡성은 떡밥만던지고 스스로가 수습못했다면 이건 백배나은데요,10
95,사바하는 영화를 깊게 봐야한다 영화안에서나 영화가 끝나고서나 생각이 많아지는 영화다 신에 대해서나 신에 대한 믿음에 대해서나 우리가 기존에 생각하는 크리스마스에 대한 분위기에 대해서 의문을 가지게 된다,10
96,초반에 소가 왜 죽었는지 왜 갑자기 선과 악이 뒤바꼈는지 이해못했으면 영화 제대로 안본거임ㅇㅇ 영화 속 상징들과 배우들의 대사에서 세계관 설명을 해주는데도 이해 못한다고 하면 할말없음  이해하면 수작이라고 할 ,10
97,세상에 여러 종교적 심볼리즘을 한데 모아 조화롭고 소름끼치게 잘 녹여낸 영화 특히나 기독교적 요소들과 불교적 요소들을 평행적이면서도 동시에 서로 맞물리게 표현해내는 부분에서 뒤통수를 얻어맞은 듯했다 참신하게 잘,10
98,영화 이해 못한 애들이 쓰레기라고 까내리네 ㅋㅋ 염소가 왜 울고 소가 왜죽었냐니 염소는 기독교쪽에서 악마로 묘사됨 그것이 태어난 것이 불길한 징조라는걸 오컬트적으로 표현 한거죠 소는 구제역으로 죽었습니다 전개상 그것,10
