,review,score
0,난 태국공포가 젤 무서워 ㅠㅠ,10
1,역대 본 영화중 가장 무섭고 스릴있음 ㅋ,10
2,일본공포영화보다 무섭습니다마지막에 좀부족한연출이어지만 최고의공포를선사,10
3,셔터보다 좀 못하다 볼만은함,6
4,초반에 비해 후반부로 갈수록 점점 이상해져서 아쉽다,6
5,무서움깜놀했음이거본날엘레베이터탓는데무서웠음ㅋ ㅋ,10
6,놀래켰다는데에 큰 점수를 준다,6
7,공포영화라기보다는 샴쌍둥이에 대해서 다시 한번 생각하게 되는,7
8,좋았는데 멀그래,8
9,귀신이너무자주나오면재미없다 어떤영화도 그렇지만 마무리가 아쉬움,6
10,샴쌍둥이라해서 괴기스러울줄 알았는데 귀신이 더 무섭게생겼따,7
11,태국 공포영화 짱 무서움,10
12,난 나름 재밌게봤는데 ㅋㅋㅋ 무섭진않았지만스토리가 맘에들어서 점줌,10
13,재밋는데,8
14,나오겠지 하면 나오고 그렇게 되겠지 하면 그렇게 되는 영화,10
15,한국일본공포 보다 훨씬 볼만해 사령보다는 못하지만 역시 공포영화 대세는 태국,10
16,긴장감최고 무섭고 꿈에나왓던영화,9
17,쌍둥이라는 소재에서 알수있는 뻔한 반전 그래도 나름의 맛이 있기는 함,5
18,반전 최고여뜸,10
19,그럭저럭영화를 잘 모르는 나도 반전을 예상했을 정도ㅋㅋ 무섭진 않다,7
20,똠양꿍 같은 짜릿한 맛은 덜하지만 나름 의도가 좋았던 태국산 공포 스릴러,5
21,괜찮은 태국공포영화 였음 셔터보단 못하지만 그래도 볼만한 공포영화 였음 초반에 우리 한국과 태국의 조화가 신비롭고 무언가 거부감은 좀 없고 인상깊었음,7
22,그냥 그럭저럭,6
23,내가 본 태국 공포영화 중 짱이었지 특히 끝에 반전이,9
24,무섭진 않았지만나름 괜찮았다,6
25,무서웠었는데,7
26,공포영화답습니다마지막반전도 기대하시라,9
27,끝에 반전이 있어서 되게 재미있는거같아요 추천합니다 ㅋㅋ,10
28,재밌었는데 평점이 왜 이렇게 낮지 은 넘는다 보는데 평균 높이려고 많이 줌,10
29,이런귀신 영화 백날봐도 결국 귀신보단 사람이 난 더무섭다 그래도 공포영화중에 손에꼽을만할정도로 놀랐었습니다,9
30,처음에는 재밌었는데 영화 후반후가 정말 맘에 안들었다호러물에서 고어물로 바뀌는 기분,5
31,셔터처럼 쩌는건줄알았드만 나쁘지는않지만 아쉽다,7
32,반전이 어처구니 없네 그럴 거면 태국에 왜 돌아 왔지 셔터 감독 작품중 최악,5
33,약간의 재미 랄까,8
34,그럭저럭이란 말이 어울린다 공포물은 무서우면 그만인데 어줍짢은 미스테리를,7
35,학교에서 봤는데 엄청 재미없다 내용이이상해,1
36,셔터를 만든 감독 작품이라 봣는게 귀신에서 미저리로 별로,5
37,기대안하고봤는데 재미있는데 공포영화잘보는편인데도ㅋ,10
38,생각나는거남자 대사뿐 핌 번은 들은듯,7
39,재밌게 봤다캬 역시 셔터에이어 재밌게봤슴,10
40,낮에봐도 무섭더라고요 ,10
41,귀신이 나오는 공포영화중엔 태국산이 제일 나은듯,9
42,공포영화중 가장 나았던 영화 ㅎㅎ,10
43,예상할 수 있는 스토리 전개지만 공포적인 요소나 효과는 만족할 수 있는 영화,9
44,중간중간 나오는 배우들의 어설픈 한국어실력그래도 무섭다,8
45,셔터피막과 함께 상당히 볼만한 타이 작품 샴 재미있게 봤습니다 ㅎㅎ,7
46,전형적인 얀데례 표본 ㅋ친구가 나에게 기대감을 줘서 실망했기 했지만 나름 스토리 괜찮고 재밌었다,8
47,내가 원래 공포영화를 잘못봐서 무섭긴했는데 그렇게 재밌진않앗음,6
48,반전은 개뿔  걍 그런데 평점이 넘 높아서 낮춰주러 왓음 ㅡㅡ,1
49,소리가 엄청 요란해서 여러번 놀랬고 그 외엔 별로 없었음 근데 잼있었음,6
50,지금까지 본 영화중에 제일 깜짝깜짝놀라고 제일 무서웠달까 징그럽구,10
51,소재의 신선함을 강조하고자 이야기 중심으로 이끌어가려다 보니 공포를 놓친감이 없잖아 있다 셔터보다는 조금 약하지만 그래도 이정도면 볼만한 공포영화인편 한국 쓰레기 공포영화 볼바에 이걸 보는게 훨 낫다,7
52,다시 못볼 정도로 무서운 영화 이거 볼 때 영화관에서 소리질렀다 최초로,10
53,무서워디질뻔진짜 ㅡㅡ혼자보지마세요,10
54,개봉당시 군대에서 휴가 나와서 극장에서 본영화지 싶은데 영화 셔터만큼은 아니지만 그냥저냥 볼만은 한것같음 걍 재미와 공포가 보통정도인 영화,5
55,나는 생각보다 볼만했다,7
56,지금 에 댓글답니다 여주 이쁨,6
57,태국공포 분장하나만큼은 인정,7
58,산 사람이 더 무서운 영화,8
59,저는 샴쌍둥이인 후손이 태어나서 고통을 당하게 하지 않게 무슨 노력이 필요하다는 생각이 들었고 또 저와 타인 모두는 영원히 동일한 생명체가 아님을 공포와 함께 다시 한 번 더 깨달았습니다,8
60,질투심으로 시작된 무서운 영화,5
61,귀신보다 사람이 더 무섭군 ㅋㅋ,6
62,솔직히 점이상은 되는 영화 재밌음,9
63,인생공포영화입니다 탄탄한 짜임새 굿,10
64,제가 무서운 영화를 엄청 좋아하는데 이 영화는 개인적으로 되게 재밌게 봤습니다 마지막 쯤에 반전 내용이 있어서 더욱더 스릴 넘쳤던것같습니다,10
65,태국 최고로 손꼽히는 공포영화 공포영화는 역시 대만보다 태국,10
66,오 이거 무섭긴 무섭다 진짜,8
67,정말 재밌네요 아깝지 않은 시간이었습니다 중간에 깜짝깜짝놀랠때마다 욕했네여암튼 잘봄,10
68,안병기드팔마 자매들,1
69,신선한 공포영화컨저링 이전까지 최고,9
70,태국 공포물 특유의 상투적 레퍼토리에 물밀듯이 밀려오는 피로감,1
71,반전까지 있는줄 몰랐네 최고에요,10
72,반전 짱 공포는역시 태국셔터 도 잼있는데 이것도 재미짐,10
73,헐 무섭고 오싹 재밌네요,10
74,누가 더 악역일까 핌 플로이 위 반전도 좋았고 시작도좋았지만 후반부로 갈수록 산으로 가는것이 아쉽다,5
75,년전에 봤는데도 아직도 기억이 생생하네요  ㅋㅋ 제일 인상깊게 본 공포영화라 뇌리에 떠나질않네요,10
76,솔직히 공포영화라고 할 순 없는 것 같아요 슬픈 멜로영화같다는 느낌으로 봤습니다,7
77,극장에서봐서그런지무서웟다,7
78,셔터 땐 참 좋았는데우째하나도 안무섭고 반전도 빤히 보임,5
79,스피커 바로 밑에 앉았었는데 소리때문에 죽는줄 알았네그려,7
80,귀신보다 무서운게 따로 있다,7
81,음반전에서 별개반 음향효과 뭐 그런분장 무그런거에서개반그럭저럭볼만해요,6
82,태국에서 배울께없어서 한국공포영화를 답습하고있다안병기 영화보단낫다,5
83,바디는 쓰레기지만 샴정도면괜찮지 않나 난 재밌게봤는데,8
84,놀래키기만하고 공포 분위기는 그다지 느껴지지 않는다,1
85,공포 별로 안좋아 하는데 역시 너무 무서웠다 ㅜㅜㅜ,7
86,반전도괜찮고 그럭저럭 볼만한 공포영화라고생각,7
87,별로 무섭지도 않고 억지성이 강하다 오래전 한국 공포영화 보는듯하다,2
88,그럭저럭 괜찮았다,7
89,마지막만 재밌고 나머지는 별로인,6
90,마지막에 남자랑여자뜨는부분에서 좀안습이긴했지만 그럭저럭 재밌게본영화 ㅎ,8
91,굿임,10
92,그다지 내용이 추천 안합니다,5
93,셔터 이후로 너무 큰 기대를 했나 기대보다는 별로,6
94,공포에서 살인마영화로 바뀐다 이건 뭐하자는 건지 아짜증 공포도별로스릴도별로,5
95,반전이랄 것도 없음 줄거리만 봐도 뻔한데 그거 생각하면서 감상하는게 나름 포인트,6
96,가슴은 두들기나 예고편에 너무 많은 걸 담았다,5
97,반전이 너무 뻔해서 설마 아니겠지 했는데 역시 그거였어,6
98,옛날여자친구랑 영화관에서 재밌게 본 기억이ㅋㅋㅋ,10
99,공포영화팬이지만 실망 셔터의 성공에 사로잡힌 스토리 아이들에겐 통할듯,10
100,잘 만든 공포영화 중의 하납니다,10
