,review,score
0,제발 학생들아 여기와서 쎈척허세좀 부리지마라진짜 평점낮은 연령대가대뿐이다 공포영화 보다가 웃었다고하면 누가 멋있어한대니,7
1,동남아산이라고 가벼운 마음으로 보았다간 큰 화를 당할것이야,9
2,진짜ㅋㅋㅋㅋ왠만하면 공포영화 조용히 보는데ㅋㅋㅋㅋㅋㅋㅋ 아오ㅋㅋㅋㅋ 소리 꽥지르면서 앞 의자 발로 걷어참ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ셔터란 나에겐 그런영화,10
3,내가 첨으로 소리 지르고 꺼버린영화 내용 스토리 그딴거 개나줘버리고 젤 무서웠음,10
4,이거보고잠이안온다,10
5,년전인가 남자들 명이서 방에서 봤는데 오줌 지렷다 ㅋㅋㅋㅋ,9
6,정말 강간범들은 이렇게라도 벌받아야된다,8
7,컨저링 보다 무섭다 컨저링 보고 개실망하다가어릴때 귓구멍 틀어막고 실눈뜨고보던 기억이 나서 간만에다시 봤는데 진짜 무서워,8
8,리얼소름ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ사다리충격차타고 튀는데 셔터 터질때 리얼소름개멘붕ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ솔찍히 나온지 몇년이된 영환데 아직도 이정도 평이면 엄청난거 아닌가ㅋㅋ무섭고 안무섭고는,10
9,들고 사진 많이 찍는 커플에게 이 영화를 추천합니다,10
10,나 근육질에 살 싸움짱인데 이거 보고 놀라서 근육 파열될뻔 다못봤다,8
11,왜 우리나라는 태국만큼 공포영화를 만들지 못하는걸까우리나라 공포영화도 좀 발전했으면 좋겠다ㅠ,10
12,무서워 안볼꺼임 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,10
13,피가 난무하는 미국 공포영화보다 이런게 훨씬 더 무섭다ㅎㄷㄷ,9
14,셔터를 재밌게봤습니다 이해 안가는부분은 처음이 교통사고로 여자를 뺑소니하게되는장면이 나오는데 이부분은 영화줄거리에서 어떻게 연관이 되는건가요,8
15,맞아 사다리 장면에서 놀라서 비명지름ㅋㅋㅋㅋㅋㅋㅋ와벌써 본지가 몇년된 영화네,10
16,이영화를 보고 너무 무서워서 잊으려고 컨저링과 고스트를 봤다,9
17,죽은여자는 살아있을때도 귀신같이생겼노ㅡㅡㅋ 머리 가발같어,7
