,review,score
0,포스터에 써있는말 당신의 상상력이 조각난다 다보고나면 저말이 과언이 아님을 알게된다 추리소설에 애크로이드 살인사건이 그러하듯이 사고의 맹점을 아주 제대로 찌르는 멋진 반전 당시에 누가 이 결말,10
1,반전이 너무 많이 알려졌어 ㅡㅡ,10
2,쏘우시리즈중 가장 명작입니다,10
3,쥐꼬리도 안되는 제작비로 이정도를 찍었으면 점이 모자란거다,10
4,에서 끝냈어야했다,10
5,공포영화 순위에 쏘우이 없다니 이게 왠말,10
6,반전을 모르고 봤다는게 정말 다행,8
7,반전영화에 한 획을 그은 영화 이 영화 덕분에 반전영화에 관심을 갖게 됐다,10
8,보고나서 입이 안다물어진다,10
9,흑인경찰과 의사부인이 총이 있음에도 너무 답답하게 대처함,5
10,이런 명작을 점 안주면 안되지,10
11,이영화는 반전보다도 스릴러에 교훈이 있다는 그자체가 신기한 영화다 정말 삶을 소중히 하지 않는 사람들에대한 비판과 삶을 허비하며 살아가는 사람들을 비판하는 반전보다 교훈이 머리속에 남는 영화 엿다,10
12,전설의 시작이자 마지막,10
13,처음봤을때 그 충격을 아직도 잊지못한다,10
14,마지막 장면 보고 몇분 동안 경악햇다,10
15,쏘우은 레전드지 천재적인 이라는 수식어가 붙을만한 영화,10
16,개무섭다 마지막비명ㄷㄷㄷㄷㄷㄷ,10
17,항상 범인을죽일수 있는상황에서죽이지않네 정말로짜증난다 싫다정말,1
18,벌써 본지 년 정도 된거같은데 그반전은 잊지못함쏘우보고나서 학교가서 애들한테 홍보했던 기억이 나네ㅎㅎ,10
19,미친반전 하두 어이가 없어서 미친놈처럼 웃으면서 극장에서 나온기억이 나네요ㅋㅋ,10
20,반전이 다가 아니다,8
21,스포알고 봐도 재미가 쏠쏠한 영화,9
22,세도 관람할수 있는 공포영화,10
23,게임하나할까,10
24,범인을 정말 예상 못했네요 대단,10
25,감독 연출의에 대박난개 아니였을까 너무좋았다,10
26,당시굉장히충격적이였지하아,10
27,쏘우는 이편이 진짜 잘만들었다,10
28,제임스 완이 내 목표임 ㄷ,10
