,review,score
0,공포영화 매니아인데 결말이 살짝 아쉬웠지만 무섭게 봤어요 배우들 연기가 쩔어서 이입이 잘되어 심리적인 긴장감을 마지막까지 놓을 수 없었고 귀신이 나와서 무섭다기보단 트라우마로 남을듯한 기괴한 씬들 때문에 무서,10
1,평점낮게 주시는분들 도대체 어떤 공포영화원하시는거에요 혐오스런 귀신이 소리지르면서 갑자기 튀어놔와야 공포영화입니까 개인적으로 깜짝 놀래키기만 하는 공포영화 싫어하는 사람으로써 매우 재밌게 봤습니다 영화보는 내내,10
2,왜 저평가받는지 이해가 안되는 영화 개인적으론 수작이었음 결말부분까지 흥미진진하게 재미있었고 어느정도 결말이 예측되긴하나 어디서 뭐가 터질지 예측이 불가능했음 간만에 재미있는 공포영화봐서 기분이좋다,8
3,심리적인 공포가 장난이 아님 고전 공포영화들처럼 우아한 느낌이 있음 공포영화를 많이 보는 사람들이 좋아할 듯,10
4,근래 본 영화중에 제일 무서웠네요 불쾌함과 두려움 사이의 균형을 잘 잡은 영화인 것 같아요 결말은 좀 허무,10
5,갑툭튀 류의 무서운 공포영화는 아니고요 공포라기보다 불안함을 더 많이 느끼게 함 공포영화 잘 보는 편인데도 마지막 분 가량은 영화의 분위기가 너무 싫어서 뛰쳐나가고 싶었어요 호불호 갈릴 듯한 느낌이지만 저는,7
6,다른 여타의 영화들보다 훨씬 신선하고 스릴있고 독특한 영화라고 생각했고 충분히 볼 만한 영화라고 추천한다 다만 귀신이 깜짝깜짝 등장해서 관객들을 놀래키고 흥분시키고 결과가 뻔한 포르노 같은 공포영화를 기대하는 사람,9
7,오컬트 좋아하면 진짜 재밌을듯 인시디어스 컨저링보다 훨씬 무서웠는데놀래키는거나 악마같은 시각적 청각적 장치가 적은 편이라 지루할 순 있는데 조금만 상황에 이입해도 ㅈㄴ무서울 수 있음 스토리나 장치들이 새로운 ,10
8,아빠가 제일 불쌍하네요 ㅠㅠ,10
9,이 영화를 보고 욕하거나 불만이있다는건 감독이 연출한 영화 맨처음부터 끝까지의 떡밥을 제대로 이해하지못한 문외한이라고 판단 될만큼 복선이 굉장했고 모든걸 완벽하게 회수했다 촬영 기법과 인간심리를 몇안되는 배우들로 ,10
10,마지막에 예상 가능하긴 했지만 음향이며 연기며 나무랄데 없는 공포영화였어여 ㅋㅋ 전 엄청 집중되던데 걍 최근본거중엔 젤 쩔엇음,10
11,공포영화 좋아하는데 해석의 여지도 있고 뻔하지 않고 신박하게 무서웠습니다 일단 엄마는 존재 자체가 공포스러움ㄷㄷㄷ,10
12,이게 왜 쓰레기영화인가 도대체 쓰레기라는 그들은 공포영화의 묘미를 알긴아나싶다 너희들은 곤지암같은 갑툭튀나 팝핀귀신의 비주얼에만 좋다하겠지 ㅋㅋ 호러무비 전개상 신선함은 특출나지않지만 이 감독은 공포감이 무엇인지 ,10
13,영화관에서 운 좋게 혼자 봤는데 진짜 신선하고 무서웠습니다 잔인한 장면 많이 나오니 주의 하세요 너무나도 기괴하고 거기서 느껴지는 공포감 진짜 공포를 느끼고 싶으신 분들은 혼자 불끄고 보세요,9
14,이게 왜 재미가없지 얼마전 트루스오어대어도 보고왔는데 그거보다 훠얼씬 작품성도 있고 배우들 연기 전부 압권 트루스오어대어가 오히려 점대급 파일노리영화였는데 점대고 유전이 점대라니 말도안된다 공포란 놀람이 ,10
15,보는내내 심장 쫄림ㄷㄷ인물들의 표정들이 영화를 본 후에도 머릿 속에 잔상처럼 남는다,10
16,반전에 대한 기대로 보기보다는 던져진 암시들을 곱씹으면서 봐야하는 영화 상징보다는 전개와 행동에 대한 추론들이 대부분이기에 곡성과의 비교는 맞지 않음,10
17,감독은 천재다 소름돋게 맞춘 구도부터 오컬트와 정신병 사이에서 줄타기하는 영화 보는내내 숨막히고 보고나서도 정신이 이상해진거같은 이상한 영화다 한번봐서는 완벽하게 이해못함 영상 한컷한컷에 수많은 복선들이 가,10
18,너무 훌륭한 영화라 생각했는데 욕하는 사람이 너무 많아서 처음으로 영화평 써본다,10
19,오늘 시 분경 이 영화를 극장에서 봤는데평점이 낮아서 그냥 쓰레기 영화구나 생각했는데 진짜 소름돋고 무서운 분위기라서 좋았음 엄청 무서운 분위기에 쫄아서 봤음 평점이 낮은지 이해가 안됨 알바를 풀어놓은건지 참,10
20,안 무섭다는 사람들 머지 나만 무서웠나ㄷㄷ,9
