,review,score
0,옆에서 기침을 시작하자 비로소 공포영화임을 느꼈다,10
1,우한코로나 때문에 관객이 인비저블,8
2,영화관에 나혼자 있는게 제일 무서웠다,8
3,진짜 무섭거나 잔인한 장면 없이 공포감을 불러일으킴간만에 진짜 재밌게 본 스릴러 영화,8
4,음향이랑 카메라칵도에 점 배우 연기 점 흑인경찰친구 근육점 스토리 점 결말 점,8
5,재밌으면 추천 재미없음 비추천 이것좀 그만 하면 안되나 그런 사람들 프로필 드가봐요 다 그런 댓글만 있음 영화를 더럽히는 댓글들임,7
6,이거 보고왔는데 눈치 없는 울집 강아지 허공에 대고 짖길래ㅜㅜ 벌벌 떨면서 담요 던져봄ㅜㅜㅜㅜ 진짜 무서워 죽을뻔,10
7,환공포증 걸릴뻔했네,10
8,투명인간보다 더 무서운 여주인공,10
9,강아지 죽을까봐 보는내내 불안했음 마지막에 편안,10
10,여주 표정연기 미쳤다 내가 더 몰입되,10
11,세실리아가 부릅니다  ,10
12,귀신나오고 말도안되는거 싫어하는데 이건 스토킹과 현대과학이 섞여 현실감있었다 결론도 사이다에 스토리전개도 빠르고 자극적이고 이시국에 영화관간게 안아까웠다,10
13,지금 봐라 코로나 때문에 극장에서 혼자 봄,10
14,미쳤다 그냥개꿀잼이에요우리나라 흔해빠진 공포영화라는 차원이다름보고 배우세요 제발,10
15,여자친구가 더 무서워요,10
16,와 여주 연기력 미쳤다 외국인이 연기 잘한다고 느껴진 건 이번이 처음영화 존잼,10
17,이 영화가 진짜 무서운 건 익숙한 공간이 낯설어지다는 것 같음,10
18,별로 기대안했는데 진짜 재밌었어요 처음부터 끝까지 계속 긴장감있고 흥미진진해요 보면서 계속 이 사람이 말하는게 근데 사실인가 아님 저게 사실인가 의심이 드는 영화이기도 하고요 추천합니다,10
19,미국영화 특 여주가 찌질하다가 막판에 걸크오짐,7
20,대전 롯데백화점 시네마 월 일 시분 영화 나까지 관객 총 명 맨끝줄 구석에 앉은 여자 두명 겁나 떠드네 지들은 속닥거린다고 했겠지 그 속닥거르는게 신경 엄청 쓰임 그런 에티켓으론 다시 극장오,9
21,업그레이드 감독이라 스프라이즈 음향효과에도 스프라이즈,8
22,역시 믿고 보는 겟 아웃 제작진이네진짜 시간 어떻게 가는 줄 모르고 봤다ㅋㅋㅋㅋ존잼 여주 연기 미쳣음,10
23,무섭게 재밌다 추천 아니다 비추천,10
24,공포영화라기보단 스릴러 영화로 재밌고 무서웠다,8
25,영화 끝나는 순간 내 주위에 누군가 있음을 자각하게 된다,9
26,재밌게 무섭딱 맛있게 매운 느낌 여주 연기 진짜 미쳤나는 재밌었는데 부모님은 그저 그렇다하심,10
27,솔직히 무서운건 겟아웃 어스 뺨때리게 더 무서움,10
28,영화에나오는집 전망 죽여줌 그냥 저 집에서 살고싶다,10
29,영화 시작하기전 앞좌석 커플이 떠든다영화가 시작해도 계속 떠들까봐 무서웠다,10
30,진짜 오랜만에 공포봤는데 너무 무섭네요 반전에 놀랬고 초반에 여자가 우유로 사다리쪽에 부었을때 무슨 검은물체보고 진짜 기겁했어요,10
31,최근 본 영화중에 가장 인상깊었음,9
32,역시 질질짜는 국산보단 강인한정신의 미쿡여성답답함이 없었음,10
33,꼭 보세요 아까봤는데 긴장의 끈을 놓을수 없어요,10
34,무섭고 재미잇어여 무서워도 볼 수 잇엇던 이유는 나를 스토킹해줄정도로 날 좋아해주는 남자가 이세상에 없어서 공감이 안되어서 덜 무서움 아 다행이다 쩝,10
35,마지막반전은 좋았으나 잔체줄거리가 답답하고 지루하게 느껴졌네요,6
36,와여주인공 연기 대박 올해 본 최고의 스릴러 영화,10
37,처음부터 끝까지 긴장하게하는 영화그런데 첫장면에서 잘 때 파도소리 무엇 방음실화,9
38,분위기 미쳣다 ㅡㅡ도 잘뽑고 연기도 좋음 볼만함,10
39,왜 여주가 그렇게 생긴 사람으로 캐스팅 했는지 보면서 알게 되는 영화,10
40,귀신 괴물 이딴것들 안나오는데도 무섭다,10
41,기대보단 실망이 장르가 일반 공포영화에서 가 되버리는 기적,5
42,세실리아에 몰입해서 보게되네요,10
43,집착할이유가있었나요,7
44,흑인옵 피지컬 점드릴게요,10
45,오프닝부터 움츠러든 어깨가 내내 펴지질 않음 긴장감 최고,10
46,첫장면부터 너무 짜증 날 정도로 무서웠고스토리 전개와 장면과 연기 모두 말할 수 없을 정도로 긴장되고 지금까지 본 공포는 공포가 아니었음을코로나 때문에 관람못할까봐걱정하다 마스크쓰고 나가 봄 정말 안봄 후회 ,10
47,와 소름 끼칩니다,8
48,집 좋더라나도 저런집에서 살고싶음강아지 안죽어서 다행,8
49,이전까지 보던 스릴러와는 다른 스릴러라고 할 수 있음 뻔한 내용일 수 있는데 여주연기 연출 으로 영화 다 살림,8
50,눈 가린다고 사라지는 무서움이 아님 진짜 무서워서 중간에 나왔어요ㅠ 근데 후유증은 오래 안가더라구요 정말 깔끔한 공포영화 소름도 돋고 추천,10
51,보고 진짜 와 이런 영화가 있구나 대박 이러면서 감탄함ㅋㅋㅋ 진짜 신선하고 존잼임,10
52,최근 본 스릴러중에 단연 원톱 영화 보는 내내 긴장되고 실제로 한번 지렸네요,10
53,카메라가 움직이면 나는 뭐가 튀어 나올까 긴장한다,10
54,주말 황금 시간대에 명 남짓한 관람객예매율 위임에도 만명빨리 코로나가 잡혔으면 좋겠네요,9
55,공포영화는 안보는데 이건 귀신도 안나오고 스릴있고 흥미진진해서 재밌게 볼 수 있었다,10
56,공포면 공포 스릴러면 스릴러지 왜 공포스릴러인가 영화보면 이해됨 대 남성인데 극장에서 장화홍련이후 처음으로 소리지름 페인트 쏟는장면에서,10
57,도입부는 긴장감이 좋다가 갈수록 루즈하네요,8
58,보는 사람도 제발 벗어나고 싶은 마음이 간절해짐 ㅋ 뻔할줄알았는데 신선한 요소가 있음 마지막 결말이 이렇게 마음에 쏙 들수가 ,9
59,여주가 개쎈캐여서 맘에듦 마지막 까지 깔끔함,10
60,이 영화는 끝났다고 생각한 순간부터 진짜가 시작된다,10
