review,score
이런 한국에서  거의 사용하지 않는 소재를 가지고 영화를 만들었다는 것 만으로도 난 박수를 쳐주고 싶다. ,8
안티들 꺼져. 시사회 봤는데 최근 한국영화 중 가장 특이하고 긴장감 넘치는 영화다. 어디서 평점 테러로 장난질이야. ,10
관람객두 배우의 연기에 완전 놀랐다. 몰입이라는 단어는 이럴 때 쓰는 것 ,10
시사회에서 보고왔다. 강동원 영상화보집일 줄 알았는데 내용까지 재밌어서 놀람 ,10
"몰입도 괜찮았으며, 박소담 연기가 대단하네요 ~ ㅂㅍㅅ 초치지말고 된장 발라버리기전에 조용헷 ^ ^~ ",9
관람객우리나라에서 이런 새로움에 강동원인데 안보면 안대지 ,10
강동원의 캐스팅은 정말 신의 한수였다..  영화가 흘러가는동안 중간중간 영화를 잡아주는 역할을 했음..당연히 김윤석 연기는 말도 할 필요 없이 대단했고ㅋㅋㅋ 나머지 배우들 역할도 좋았고 재밌었네요~~ 흥행하기를! ,9
관람객스토리도 괜찮고. 박소담 악령연기. 박수 한번 주고갑니다. 성부와 성자와 성령의 이름으로.... ,9
기대안하고 봤는데 기대이상이네요 ,10
잘빠진 영환데 아유없이 테러하지맙시다 ,10
관람객올해 제일 잘 빠진 새로운 한국영화! ,10
"관람객다소 호불호가 갈릴수 있는 내용이지만 강동원, 김윤석의 조합으로 연기력과 재미를 동시에 볼수 있는 영화 ",10
관람객누가 외국공포영화를 따라 한다 그랬나.그걸 기대하고 갔다면 실망할 것임.인터뷰 한대로 발성도 좋고 노래 실력도늘었다ㅋ ,9
관람객한국판 엑소시스트^^초집중 ,10
관람객박소담... 니가 다했어... ,8
관람객다들 강동원 강동원 하는데 사실 김윤석-강동원-박소담 누구하나 빠지는 사람 없이 다 연기가 좋았다. 돼지도! ,10
관람객너무 보고싶어서 조조로 방금 보고옴! 아 진자 초반부터 초집중하면서 봤음 배우들 연기도 좋고 주말에 또 볼 예정! ㅋㅋ ,10
"관람객김윤석, 강동원, 그리고 박소담...구마의식 할때 강동원한테 ""새로 왔어?"" 할때 소름... ",10
관람객너무 재밌다 ㅠㅠ 두 배우 연기는 진짜 완전 명품 ,10
강동원씨는 항상 도전하는 모습이 좋아요 ㅎㅎ ,10
관람객무서워서 심장 사라지는 줄...영화 자체는 꽤 잘 만들었다고 생각됨. 한국영화의 새로운 시도임도 높이 사고 싶어요 ,10
시사회로 봤는데 영화 좋았다. 재미도 있고 긴장감도 넘치고. 김윤석과 강동원의 합이 참 좋았다. ,10
관람객영화보고 나면 강동원 밖에 생각 안 나겠지란 생각을 반성하게 된다. 밀폐된 공간에서 대사들은 정말 몰입감에 몰입감을 더하다 못해 코팅해버린다 ,10
관람객둘이 봤으니 망정이지 혼자 봤으면 오줌 지릴 뻔..영화는 지루하지 않고 좋아습니당 ,10
관람객한국영화중역대급영화!!!! ,10
"관람객  먼저 강동원은 진리입니다! ♡  대본은 배우 잘못 만났으면 b급일수도 있을 것 같은데 정말 모든 배우의 연기가 살렸네요. 믿고보는 남배우들도 최고이고, 박소담씨는 그 나이 여배우같지 않네요. 음향도 좋았구요. 팬...",10
테러들 오지게도 하네..시사회에서 본 감상은 9점대 중반이나 테러질들 땜에 10점 준다. 색다른장르에 긴박한 느낌 계속되고 세 배우들 연기도 굿굿굿이었음 ,10
관람객진짜 어쩜 세명이서 2시간을 그리 잘끌어가는지 잼나죽는줄~~ 강동원 멋있어! ,10
관람객속편을 만들거나 드라마면 재밌을텐데 한 편 가지고는 좀 아쉽다. cg도 어두워서 어색하지 않고 볼만함. ,8
관람객영화 내내 숨소리죽이고 긴장하게 만듬 내용 연기 모두 굿굿 ,10
관람객가면갈수록 재밌어지는데 여자분 연기작살이네요..깜짝놀랬어요 진짜귀신같애서.. ,8
관람객뭐에홀린듯한영화 후반부로갈수록 긴장감넘쳤다 ,9
"후반부로 갈수록  몰입도도 좋았고, 배우들에 연기도 탄탄했다. 어울리지 않으면 어떡하나 라는 우려를 단박에 씻어주었다. ",8
버터를된장에볶고태웠는데 먹어보니까맛있네? ,10
