review,score
둘째는 왜케 신경들을 안써주는거임? ,8
성동일 침대씬이 젤무서웠다...ㄷㄷㄷ ,7
 왜 등장했는지 모르겠는 백윤식 선생님...이런 상황에 집 안에서 왜 다 따로 있는건지... 말이 안 돼ㅡㅡ  사고 날 때 백윤식 선생님 비롯해서 기도고 뭐고 아무것도 안 해... 너무 설득력 없는 부분이 많음. 의...,1
가족이 서로 못믿을때 심리적으로 무서운게 좋았음 ,10
관람객가장 안전하다고 생각한 집을 공포의 현장으로 설정해서 더 무섭게 느껴졌다 ,10
용두사미...배우들 연기는 좋았으나 중반부터 급격하게 스토리 개연성 떨어지고..만들다만 느낌..영화소개 프로에 나온 내용이 다임요..가정집에 화장터인지..화덕인지는 왜 있으며..백윤식은 대체 왜 나온건지...외국어 ...,2
결말이 조금 갑작스럽긴 했으나 나쁘지는 않음. 둘째 딸 아무도 안찾냐 왜 ,8
관람객아무도그냥믿지마세요 ,10
관람객연기 정말 좋았구요 공포스러운 분위기도 좋구요. 그런데 영어쓸때는 좀 깼어요. ,9
진짜.. 구라안치고 똥쌀뻔 했음 ㅠㅜ ,10
관람객미칠것 같았던 긴장감 ;; ,10
변신을 본 내가 벼ㅇ신이었다 ,1
이 영화에서 제일 불쌍한 건 외국인 사제들이다 도와주러 왔다가 한국 구경도 못해보고 바로 황천길 구경하네 ,8
중반 이후로 어이없는 결말 사라진 둘째는 찾지도 않고 걍 어처구니가 없는 개연성..안보는게 돈 버는 길입니다 ,1
강렬한 오프닝과 초반 약 5분의 2정도지점까지는 9에서10점 정도의 빠른진행과 쫀쫀하고 긴장감있는 흥미로운연출이 돋보이다가 그 지점이 지나가면서 필리핀 나오면서부터 급격하게 무너짐.갑자기 억지스런 설정 너무 뻔한결말...,6
관람객아 먼가부족한느낌 시원하지가않은기분양념하나가빠진느낌  그렇다고 맛이없진않은..그런영화였다. ,7
관람객팝콘사가지마세여 ;; 먹을 시간도 없음 ,10
관람객연기 진짜 장난 없어요 ㅋㅋㅋ 공포연기ㅋㅋ ,10
컨셉이 아주 좋았다. 아쉬운 점도 있지만 여름에 어울리는 영화 ,10
관람객삼남매로 배우는 배우들 악마로변신한 모습은 진짜 대박이다 ,10
무슨영화를 만들다 말았냐.. ,2
공포영화 매니아인데 진짜 최악의 공포영화. 처음 소재와 배우들의 연기 때문에 기대를 하게 되고 점점 흥미진진해 지려고 하는데 백윤식 나오고 부터 전개가 다 무너짐. 가족끼리 떨어져 있지 말자면서 혼자 지하실 보내고 ...,2
뒷내용이 너무 허무했음.. ㅈㄴ ,4
각본 연출같은거 괜찮았는데 호불호가 확실히 갈릴듯... ,10
관람객역시 간만의 쫄깃한 영화..흥행 기원 ,10
역시 성동일 믿고 봅니다 ,10
이거랑 사자재미없다고 하는사람들 제대로 본거맞음?? 왜 이렇게 한국영화만 평점박하게 주는거지?? 사자도 불주먹나올때 유치하다는데 그럼 토르가 묠니르로 번개 쏘고할땐 안유치함?? 요근래 이런 호러영화 잘없는데 되게 잘...,10
"분노는 사탄이 제일 좋아하는 겁니다.여러분, 지금 이 영화를 보고 분노를 느끼신다면 사탄에게 당할수도 있습니다.사탄의 빅픽쳐인듯합니다.분노를 가라앉히고 차분하게 1점을 줍시다. ",1
관람객아역들도 연기를 넘 잘함 ,9
"댓글 왜이러냐 진짜, 초반에는 무섭고 긴장감 있는 분위기 잘조성함, 약 10분까지는. 근데 그 이후로부터 개연성도 없고 이게 엑소시즘 물인지 삼류 드라마 같기도 하고 말같지도 않은 감동 분위기 연출 하고 보다 짱나고...",1
