review,score
관람객그냥 너랑 봐서 무서웠다 ,10
다들 겁쟁이 시군요. 이번주 내로 혼자 새벽에 보고 오겠습니다.이런게 바로 상남자죠.근데 오늘 긴팔입었는데 왜이렇게 식은땀이 나고 덜덜 떨리죠?? ,10
새벽 12시에 심야로 보러간 나는 오줌을 질질 흘리며 집으로 왔다. ,9
난 시작할 때부터 지려서 귀저기 차고 봤는데 ,10
영화 보는 중 워렌 부부의 등장을 기대했다 ,10
저도 어렸을 땐 인형을 정말 좋아햇죠....오늘 다 갖다버려야겠어요 ,9
관람객정말 롤러코스터 타는 느낌. 귀신의 집을 풍경으로 한 무서운 놀이기구 탄 느낌이었다.  특히 지하창고 (?) 같은 부분.... b   아무리 안 무섭다고 자부하는 사람이라도 올해 최고의 공포영화란 사실엔 동의할 듯....,10
뜬금없지만 여자주인공 완전이쁨 ,8
관람객순간순간의공포는 극한이었지만 중간중간 너무지루하기도함 마무리가 뭔가 급하게 마무리하는 느낌이였음 전작처럼 퇴마의식 장면이 잇었으면 젛았겠음 ,8
외국에도 옥탑방 있냐? 주인공집 꼭대기층인데 층간소음 애소리나면 무서워해야 하는거 아님? 그건 그렇고 팝콘 포장지 기술력에 무서웠다 ,10
애나벨 인형 아무짓도 안하는데 화면에 비출때마다 사람 쫄게만들어 ㅋㅋ ,10
대체 저런인형이 뭐가이쁘다고 사는거야!!!ㅠㅠ ,10
심야로 보고 왔는데 집에 돌아오면서 개무서웠음 초중반 강하게 몰아 붙이는데 후반과 결말에서 매우 강한 아쉬움이 있따 ,8
"아니 왜 인터넷에서 허세부리는지모르겠네 ㅋㅋ 여기서 안무섭다고하면 좀 가오가 올라가나 중,고딩들? ",10
컨져링보다 더 무서운...공포영화 중 최고인듯 ,10
주인공은 이쁘고 남편은 잘생겼고 아기는 너무 귀여웠음.캐스팅 잘한듯 ,9
우와 엄청 무사웟다 ㅜㅜㅜㅜ 으어어어ㅓ어엉  첫번째 그미치광이부부가 제일무서웟음 ㅜㅜ ,10
옆자리 시사회 대박이었다 ㄷㄷ하.. 무서운거 못보는 친구들 데리고 또 가야 할듯 ,10
다른건 다 뻔했는데 꼬마애 뛰어오는 장면이랑 엘리베이터씬은 진심ㅋㅋ ,7
관람객방금 심야로 보고왓어요 대박중 대박이네요 인형은 아무것도 안햇는데....왜이렇게 무섭죠??ㅜㅜ ,10
관람객어..어으흑.. 다 보고나왔는데 정신이 하나도 없었음.. 앞줄에 주루룩앉은 남자들 단체로 감전당한줄 ,9
관람객말걸지마 몹시 무서우니까 ,10
억지 설정 정말 맘에 안듦- 인형은 줘도 안갖게 생김- 그런일이 있은 후에도 맞서겠다며 아기방에 인형을 놓음- 흑인 여자 뜬금 ㅈㄴ친한척 개쩔- 얼척 없는 희생 ㅋㅋ언제 봤다고 대신 희생함?15세 관람가 일 때 부터...,1
관람객컨저링보신분들은 실망하실지도... 컨저링이더 무섭다고 생각해요 ,5
컨저링 이상은 아니지만 어느정도는 가는듯?? 한국 공포영화들보다는 백배 천배 낫다 ,10
진짜 개 무서움.. 오랜만에 제대로된 공포영화 한편 봤다... ,10
사람의 심리를 잘 이용한 공포영화. 중간중간에 아기가 어떻게 될까바.;;;휴 ,8
감독님이 영화를 만드시다 마지막에 졸았나봐요. ,1
"어제 심야유료로 봤는데 스토리는 컨저링보다 좀 못하지만,공포강도는 컨저링보다 더 쎄네요.정말  이감독은 대단함ㅎㅎ ",9
평점 쓰레기로 주는 사람 공포영화 존나 잘보나보네 영화값안아까운 공포영화였다 .진짜;; ,10
-인형목이 돌아가는 장면이 없는게 좀 아쉽다 ,9
관람객소리영화임그냥전형적인놀래키는영화 ,7
초반부에 놀랐을때 제 심박bpm이 올라가서 굉장히 놀랬습니다만은 중후반부터 너무 상황전개가 지루해지더군요. 컨저링이 더 재밌었다고 생각하구요. 무서운장면이 더 많이 나왔으면 좋겠습니다. 감사합니다. ,6
시사회 로 봤는대 무서움 ㅠ ㅠ ,10
관람객솔직히 별로...기대이하 ,1
잔인한 공포영화가 아닌 심리적으로 사람을 놀래키는데 뭔가있다.. ,9
관람객평소에 공포좋아해서 혼자봤는데진짜 숨넘어가서 OOO줄암 특히 옆에 아무도안앉아서 후 지금도심장떨림 ,8
개똥영화 ㅋ 신부 날아가는거 코웃음 ㅋㅋ 아줌마 대신 죽는거 히어로인줄 ㅋㅋㅋ 안지 얼마나됬다고 대신 죽는데 ㅋㅋㅋ 어이무 ㅋㅋ ,1
"인시디어스, 컨저링에서 오줌을 참았고, 애나벨에서 결국 지렸다.  시리즈 중 최고네요 !!  임산부는 진심 관람 자제! ",10
관람객그냥뭐...내용은 그냥그런데 무섭긴해요~~ㅠㅠ. ,8
관람객돈아깝고 졸리고 자는데소리로놀래켜서깨움 ,1
무섭긴한데 후회는 안되는 그런영화. ,10
영화 끝나고 나오는길에 애나벨 포스터 보고 또 한번 소스라치게 놀람 난 왜이렇게 겁이 많지.. ,10
쓰레기임 컨져링보다 재미없고 어거지쩔음...대체 흑인아줌마가 왜 대신ㅋㅋ돈버림 ,1
여분의 바지를 2~3개 정도 챙겨가길 바람. 스토리는 몰라도 무섭기는 컨저링보다 무섭더라. 특히 사운드가 기냥... 진짜 무섭게 보려면 사람 없는 극장에 혼자 가서 보셔. 몇몇 장면은 실눈 뜨고 봤다. 근데 왜 공포...,8
인형 하나로 이렇게 무섭게 만들수가 있다니.. 정작 애나벨은 나와서 아무짓도 안함 ㅋㅋ ,10
이거보고 바로 집에 들어갔습니다. 부모님 어깨를 주물러드렸습니다. ,10
최고... 진짜 꿈에나올까 무서움 ,10
컨저링보다 훨씬 더 무서운 영화네요. 공포를 즐기시는 분이라면 강추. 하지만 결말은 지못미.... ,10
워렌부부가 나올줄 알았는데 안나와서 약간 아쉬웠어요 ㅋㅋ ,8
와 이거 진짜 대박.. 제임스완 천재..ㄷㄷㄷㄷ ,10
심야보구 왔는데 ㅜ  스토리는 컨져링보다는 못하지만 더 무서워요  기대를 저버리지 않네요 ,9
완전 개무섭ㄷㄷㄷㄷ 에나벨 쩔어여 ,10
난 진짜 처음부터 옆집 싸울때 그때부터 무섭더라;; 엔딩에 가까워질때까지 끝날줄 몰랐다 ,10
컨저링보단 그닥... 근데 엘리베이터씬은 진심ㅋㅋㅋㅋ밤에 엘리베이터 못탈듯 ㅋ ,7
ㅋㅋ 터널이랑 소녀괴담을 생각한다면 애나벨은 진짜 최고다 ,9
솔직히 무섭긴 무서움 초반부터 밀어부치더니 결말이살짝아쉬움 컨저링만큼의 무서운과 재미는 없지만 애나벨인형 자체만으로 극 공포였음. 특히 엘레베이터씬은 감독 작정하고만든듯 ㅋㅋ 걍볼만해요 ,7
아 진짜 계속 생각남 ㅋㅋㅋ후유증 장난 아님 ㅠㅠ ,10
컨저링보다는 훨씬 압도적으로 무서웠습니다. 처음부터 끝까지 공포 분위기 조성이 정말 잘 되 있어서 한순간도 긴장의 끈을 놓을 수가 없더라구요. ,8
컨저링이제일무섭자생각햇는대 진짜 이게갑 ,9
정말 빡치는내용이내요  에블린은 뭔죄고 여자주인공 개답답하내 쓰레기통에버렸는데 집까지 따라온인형을 왜집에 그냥 다시 들여노으며 자기들을 위해 희생한 흑인아줌마는 신경쓰지도않고 자기들 애기돌아온것만 좋아하는 주인공부부...,1
구성도 탄탄하고 괜찮았어용^^ 피튀기고 잔인한 고어공포는 징그러워서 잘 못보는데 애나벨은 컨저링제작진들이라 그런가 역시나 실망 시키지 않네요. 생각지도 못한곳에서 몇번이나 놀랐는지 원.. ,10
줌인하는 장면들이 소름돋음.... ,10
대박 무서움의 끝판왕  최고 개봉영화중 최고 ,10
우리나라사람들 심보졸라못됐네 ㅋㅋ 그렇게 혼자죽기싫은가..? 거짓말까지해가면서 낚시질을 해야겟나.ㅋ 내돈..ㅠㅠ ,1
관람객솔직히 재미없네요 내용이 뻔하고 컨저링이 더 무서운거같네요.. ,1
관람객흑인아줌마 급죽음ㄷㄷ ,7
악마?인가 생긴게무슨 갈리오만도 못한 그래픽에 인형떄문에 불길하다더니 갑자기 다시 집에나두고 용기를 가진댓다가 질질짜고 갑자기 흑인아줌마는 자기가죽고 ㅋㅋㅋㅋ 첨에살인마나오는거랑 엘레베이터반복 뺴고는 솔직히 갑갑하고...,1
이영화에서 유일하게 궁금했던 점은 피클을 겨자에 찍어먹으면 무슨 맛이날까 였다. ,1
관람객컨저링보다 무섭고 악마가 왜 탄생하는지를 보여주네요. ,8
공포 영화는 이런것.. 정점을 찍다 ,10
관람객마무리가 조금 미약하나  공포영화를 즐겨보는취향이 아닌 저의기준에는 깜짝 놀란 장면이 많았으니 참고하세요 ,7
제가 본 공포영화 중 최악입니다 진심돈 아깝고 평점 1점 주는 것도 아깝네요 아오 깊은 빡침이...지금 보고 나오자마자 빡쳐서 평점남깁니다이거말고 걍 국내영화 봐주세요~ ,1
관람객사람 피곤하게 만드는영화...얼마나 대단한걸하겠다고 ㅈㄴ 질질끌더니 갑자기 어영부영 허무하게 마무리됨....그치만 깜짝놀라게하는건있으니 5점은 처주겠음ㅋㅋ ,5
기껏 인형 따위가 하고 봤다가 큰코다침 ㅡ.ㅡ ,10
관람객너무재미없어서중간에나왔어요 ,1
친구야 여름다갔자나.. ,10
관람객재미없음재미없음재미없음 ,1
아니 아 영화에서 왜 자꾸 귀신이 아닌 악마가 나와 이러는 사람 있는데 이 영화는 오컬트 무비 잖아;; 오컬트 무비가 뭔지 모르나... 엑소시스트 같은 영화라고 ,10
일점도 아깝다 그냥 쓰레기 ,1
컨저링시리즈 마니아라서 보러갔는데 이번 시리즈가 제일 별로네요; 무섭지도 않고 내용도 별로 없어서 돈 버린 느낌이랄까.. 실망이큽니다. ,1
와 미친 내가 본 영화중에 제일재미없다 진짜러닝타임 호구에 영화 보고 허무함밖에 남은게 없네평점 좋게준사람들 없애고싶다 진심영화 보는눈 별로 안좋아서 대부분 재밌게봤는데 이건 진짜 아니다 돈낭비 ,1
"소리만 크고 시끄럽다. 개연성 따윈 없고, 시나리오 진짜 허술하다. 돈아까워 죽는 줄 알았네. 내용이 뜬금포의 연속, 전설의 고향 다운받아 보는게 더 무섭겠다. 컨저링 기대하고 보면 절대 안됨. ",1
진짜 알바풀었나;;이런거 진짜 댓글 안다는데 방금 보고왔는데 보는 내내 지루하고 몸이 빌빌 꼬이고 잘까 생각들고 뭐지 이거 싶었는데 감독이 제임스완이 아니었어 어쩐지....진심 9천원 환불받고 싶은 심정. ,1
무섭긴 뭐가 무서워 ㅡㅡ 욕나오네컨저링이 훨나음 마지막 개허무 리뷰 믿을게 못됨 ,1
영화 자체는 컨저링 이상이라고 보기엔 좀 그렇구요~ 그래도 최근에 본 공포영화중에서는 가장 무섭다면 무서웠던 것 같아요 ,9
진짜 진심으로 노잼입니다 진심입니다 컨저링이 10배 더 무섭구요 진짜 노잼입니다 ,1
저기요 ㅋ 10점주고 무섭다이런말하지마세요^^ 제가 마마 컨저링 인시디어스 1 2 오큘러스 등등 공포만 보는데여 하 애나벨이거는 ㅋㅋㅋ돈아깝습니다 하나도안무섭고 전개 답없고 마지막엔자살로끝 이게말이됩니까 ?10점 알...,1
관람객존나노잼...놀라지도않음. 인형만 징그럽게 만들어놓고ㅋㅋㅋㅋ스토리는 영 꽝 ,1
