review,score
관람객빨간옷중.. 유일하게 언어를 쓸수 있는 이유.. ,8
공포영화인줄 알았는데 미친영화였다... ,10
영화 초반=컨저링급 후반=짱구의 좌충우돌 아메리카 대모험 ,8
호불호 많이 갈릴듯 소재는 참신했으나 풀어나가는 능력이 다소 미흡했다. 겟아웃 정도의 참신함과 몰입력은 아닌거같다. ,6
재밋게 봣는데 궁금한건 손에 손잡고 계속 잇는겨? 저거 하면 뭐 어케 되는건데 ,10
어떤 영화가 낫다 공감 안낫다 비공감 이런것좀 하지마 맨날 이런게 베댓이야 어스자체만의 평점을 매기라고 ,8
루피타 뇽 연기력 미쳤다... ,10
관람객겟아웃 보다 확실히 별로입니다. ,5
관람객재밌냐 이게 ? 솔직히 이게 재밌냐고 ,2
진짜 감독이 천재인듯함 ,10
관람객겟아웃보고 반해서 개봉하자마자 봤는데음 개인적으론 설정이 좀 과하다 싶네요ㅠㅠ ,7
겟아웃보다 훨씬 별로인데 언플하고 홍보를 너무 해서 기대치를 지나치게 높임;;; ,3
기대 진짜 많이하고갔는데 큰 의미를 부여하는건 좋았지만 그걸 지루하지않고 쉽게 풀어가진 못했던거같다.. 영화초반만 집중하게됬고 중반부턴 시계보고있엇음 ,1
푸하하영화  마지막장면에 산나오거든요? 왠줄암? 내용이 산으로가서^^ 감독도 아는듯 그래서 산으로 마무리한듯 ㅅㄱ ,1
아빠 졸라 웃기노ㅋㄷㅋㄷ ,10
 조조로 보고왔는데..아침부터 정신이 혼미한데 존나 재밌음 ,10
무슨 내용인지 알수도 없는 희대의 싸이코 영화. ,1
마지막 나오면서 개벙찜.... ,10
"영화보면 “아 그렇구,,,”, “응,,,?”, “갑자기,,?”, “왜 이렇게 끝나,,?” 생각이 들 것이다 당신은. ",1
개연성도 없고 좀비무비도 아니고... 심령스릴러도 아닌데...어이없는 구성과 결말. 찝찝하고 조조로 봐도 너무 황당하게 시간이랑 돈 아까운 최악의 영화!! ,2
예고편에 낚였네...겟아웃이 훨나음. ,1
"웃으며 진짜를 지하세계에 가둬놓고 왜 그 존재들을 두려워하고, 왜 그 존재들에 대해 모르고, 지하세계 사람들은 지상세계 사람들의 위치를 다 알고 있다는 데 정작 자기가 지하세계 사람이면서 본 지상세계 사람 위치는 모...",6
에스컬레이터타고 쉽게올라올수있는데 소녀가올라오기전까지 아무도 안올라온 이유는 어찌 설명? ,8
솔직히 개 별로입니다.... ,2
겟아웃 생각하며 보지마세요.. 황당한 전개와 반전... 무엇보다 이영화가 15세관람이라 중고등학생들의 정신건강이 염려스러울 정도입니다. 난해하고 자극적이기 끝이 없습니다.. 이점 참고하여 보세요. ,1
관람객생각해보니 그...그녀는 아무도 안죽임. ,10
솔직히 진짜 재밌나..? 나만 이런건가 싶었는데영화끝나고 사람들 표정 다똑같고 화장실에서 욕하는거밖에 안들림개연성이 너무 부족하고 앞뒤 설명이 제대로 안됨난 예고편도 안보고봐서 기대도 없었는데 정말 별로.. ,1
방금 본 관람객 입니다. 사람들 나오면서 다들 이게 무슨영화냐고 라는식으로 말하면서 나옵니다. 심오한 영화같아서 끝까지보면 뭐 있겠지하고 봣는데 반전 딱하나 끝 내용 스토리가 그냥 말이전혀 안됩니다.. 정말 비추입니...,1
개연성도 없고..  그 많은 사람들이 지하에 있다 치자 누가 먹이고 입힐건가? 음식은 어디서 나고.. 하다 못해 그 수천만개의 가위는 어디서 구했나 ,6
두 여자의 댄스배틀 bgm이 ㄹㅇ 한 몫했다ㅇㅇ ,10
게아웃보고 갔다가 당했다 ,1
관람객영화관 사람들 표정 귱금해서 둘러본 영화 ,1
관람객초반에 노래는 왜 그렇게 길게 넣은거지? 언제 끝나나...이 생각함 ,6
진짜 별 한개 주기도 아까워요.개연성 진짜 1도 없고 배우 연기는 좋았지진짜 너무 노잼 근데 무슨 이걸 스릴러라 말하는건지 아니면 그냥 미스테리물이라해야할지 뻔한 반전에 내가 제일 소름끼치고 무서운건 뭔지 알음? 댓...,1
관람객배우들 표정들만 섬뜩하고 스토리는 코미디 ,2
아무런 특수분장 없이 표정만으로 기괴하고 공포스러운 연출을 담아냈다는게 놀랍다. 독특한 연출에 맞춰서 중간중간 흘러나오는 음악도 좋았음. 겟아웃때부터 느꼈지만 감독이 음악을 참 잘 쓰는듯 ,10
관람객토할거 같다 내 아까운시간 돌려줘알바생들 그러는거 아니야 ,1
독특하고 긴장감 넘치는 영화였어요 인상 깊게 봤습니다 ,9
극혐 댓글 알바 왜케 많음!!! ,2
좀전에 보고나왓는데 개연성이 좀.... 내돈... ,1
0점은 어떻게 주나요...? ,1
너무 재미없습니다.  지루하요 ,2
겟아웃 감독이라 기대했는데 실망이 크네요.. 사실 겟아웃도 결말부분이 너무 싱겁긴 했죠.. 정해진 결말에 끼워맞추기식 진행.. 어스는 대실망입니다 ,1
알바아니신분 공감좀눌러봐요 환장함 ,2
실화냐...진짜 헛웃음만 나오더라 ,1
관람객마지막까지 몰입하면서 봤습니다ㅋㅋㅋ 입소문 제대로 탈 거 같네요ㅋㅋ ,10
"개봉하자마자 봤는데,,,진짜 어떻게 말려야 사람들이 보지않을까...? 진짜 돈 아까운 영화였음.. 초반엔 긴장하고 집중했다가 뒤로 갈수록 뭐지..? 참.. 걍 눈만 동그랗게 떠서 무서운 영화였음 ",4
아 돼지갈비에 냉면 먹엇는데 배부르다 ,1
아이고 이걸 못피했네! ,1
"도대체 뭘 말하고 싶은건지..공감 안되는 상징들과 표현, 전개는 단순한 억지일뿐 ",1
개솔하지마라 ㄹㅇ 개 씹노잼 보면 호구 ,2
보지마세요 그냥 벌레에요 ,1
초반까지는 좋았는데 도플갱어들 나오면서 b급좀비영화처럼 되버림 반전도 충격적이지도않고 보다보면 이런반전이지 않을까하고 생각되는 뻔한반전 겟아웃보고 믿고보러갔는데 믿고거르시면되겠습니다 ,2
아니 개연성 망했고.... 도대체 왜? 라는 생각이 떠나질 않네 ,1
개어이없음 ㅡㅡ 돈 아까움 내 인생 최악의 영화임 ,1
음악감독 상 줘라 제발 음악이 다 했어 ,10
오싹오싹.. 최고다 최고 ,10
간만에 영화 중간에 시계 봤다. ,2
"관람객시나리오, 연출, 음악, 연기 전부 다 최고다ㅠㅠ ",10
진심 뭘 표현하고싶은건지... ,2
관람객광고가 너무 잘 나왓네요 ㅎㅎ ,2
이거 장르 코미디인거같은데;; ,2
관람객겟아웃 기대했는데....실망.댓글알바 너무 많네요.추천 안합니다 ,1
어이가 없네.재미도 없고 무섭지도 않고.설정도 억지스럽고..ㅜㅜ 극장가서 보는건 비추천 ,1
진짜 최악이네 이딴걸 영화라고 극장에 거냐 평점보고  갔다가 어이없어서 웃고 나왔다 공포 1도 없다 ,1
적절하게 잘 만든 미스터리 영화 군더더기 좀 부족한 면이 있지만 나쁘지 않다 ,10
영화는 전달력이 있어야된다고 본다. 아무도 이해 못했는데 사실은 이런거였다라고 한다면 의미 없는 영화가 어디있고 망작이 어디있으랴... 주인공 연기와 음향효과는 인정한다. 배경 지식이 없다면 해석글 없이 아무도 이해...,1
관람객너무 많은 메세지를 담으려는 시도에 개연성이 부족했고 중간 중간의 코미디는 오히려 몰입을 방해. 소재는 신선했지만 결국 쫓고 쫓기는 뻔한 미국 스릴러 영화. ,4
절대보지마라.. 겟아웃 생각하고갔다가 진짜 육성으로 욕하면서 나왓다. 수준너무떨어지는 영화다.. 주인공이랑 주인공 아들 딸 연기 발연기 지려버린다..신선함이란 강박과 흑인주인공 강박의 저주에 걸려버린 조던필이 만들어...,1
관람객갠적으로 너무 재미없었다ㅡㅠㅜ시간 아까웠음 ,4
실관람객입니다 그저그렇습니다  겟아웃이 허무한것처럼 이영화 역시 허무합니다 소재는 참신합니다  겟아웃 좋아하시면 보세요  다들 재밋다고 반전이 있다는데   그정도 아닙니다 ,7
진짜 개노잼이다 겟아웃은 재밌었는데 이건 너무 거품이 심한영화다 ,1
재미없어 재미없어 재미없어 ,2
처음에 정전되고 밖에 4명이 손잡고있을때 개무서웠음 ;;;; ,10
친구 공짜로 보여준다고 데려갔다간 뺨맞을영화 ,1
최악이다 이건 알바를 풀어도 제대로 풀어놨네 ,2
정말재미없습니다. 돈 두번보세요 ^^ ,1
대체 이게 뭔 좆긑은영화지.. ,1
기대안하고봤는데 정말 재미없네요 ,1
이거 수입한 관계자. 리베이트 받았을거 같은 느낌적인 느낌. 이해가 안되요. 어디가 무서운건지.. 전하는 메시지가 뭔지.. ㅜㅡㅜ어처구니 없어서 평점 하네요 ,2
10점 주는 사람들은 좋은 영화란걸 경험해본적이 없는건가 ,4
감독 혼자 신남 개연성이고 나발이고 이럴거면 행위예술을 해라 왜 상업영화찍냐 상업영화면 기본적으로 다 돈내고 보는건데 지좆대로만 만드네 감독믿고 보러갔다가 거르는 감독으로 바뀜 ,1
진짜 ...짜증나 날아다니는  코끼리나 볼껄 그냥 싸이코영화 말이필요없다 평점주기도 아깝다 ,2
"차라리 겟아웃이 깔끔하고 훨씬 잘 풀어냈고요. 이건 영화 해석을 봐도 왜? 어떻게? 라는 의문이 많이 남습니다. 어떻게 탈출했으며, 왜 행동을 따라하지 않는지, 아들은 어떻게 눈치챘고, 발레를 배운건 복제인데 왜 본...",7
(강스포) 아니 주인공이랑 그 그림자가 뒤바뀐게 시설이 버려진 후 아님? 그럼 주인공 아들딸의 그림자는 대체 어디서 튀어나온건지? 복제인간 만들 시설이 버려졌는데? 개연성은 갖다버리고 심오한 연출에만 공들인게 아닌가...,4
겟아웃급이라고 생각하고 보러갔다가 진짜 겟아웃했다 ,1
공들여만든 정신없는영화... ,2
관람객예술영화관에서 상영해야할 수준으로 재미없고 난해함 상업영화처럼 광고하지마라 ,2
그나마 봐줄건 초중반스릴정도인데 그것도 너무 자주 나오고 늘어져서 피로감을 느낌 반전은 예상가능 설명은 너무부족 머 이따위 영화에 온갖 의미부여하는 힙스터들은 좋아할만함 ,4
"관람객너무 억지로 공포를 끌어내려는 느낌.마지막 장면을 위해 끼워 맞춰진듯 한 영화. 초중반은 정체불문의 코믹, 스릴러. ",5
..빨간옷들.. 사운드는 압도적이었으나 너무 억지였음. ,4
실망스러웠음스토리 완성도가 떨어짐. ,2
롯데시네마 오징어 왤케맛있음?? ,5
알바입니다.ㅋㅡㅡ평점이 왜케높아요..썸타는 사람이 같이보면 백퍼 썸타기 전으로 돌아갈 각. 보고나서 너가 재밌겠네 니가 안재밌네 하지마시고..살인만함..예매율에 속지마세요.실망한 사람들이 혼자 당하기싫어서 낚는거임....,1
진짜 왠만하면 글안쓰는데 진짜 목격자급으로 쓰레기 ,2
어스가 무섭다 공감 더넌이 무섭다 비공감 ,10
관람객너무 작위적이다.메시지를 줄려고 억지로 믜미부여를 한 느낌 ,4
관람객계속 스트레스 받으면서 봤다... ,6
좋은 소재가 있어서 영화 만들었다가잘 안 풀렸는지아 그냥 심오한척이나 해야지 하는 느낌 스토리에 설득력이 없음 ,6
"관람객겟아웃 때문에 너무 기대하고봐서그런가,,개연성도 부족하고 뭘 말하고싶은지 잘 모르겠어요 ",8
관람객영화가 먼가 난해하네요 기대한것보다 별로 ,4
관람객아니 보는내내 ???? 이러고봣고 진짜이건 오바에요.. 아무리 의미있는부분많다해도 과하고 겟아웃이랑 아예 다른느낌 다른감독인줄;; 같이본 내내 어이없어서 웃음 ㅎ ,2
진짜 영화보다 잠들뻔함 ,1
관람객응 노잼이야~~~~. ,5
별로...떡밥회수 잘 안되고 개연성 부족..남편은 위기상황인데도 시답잖은 농담만 주구장창... ,6
관람객별로당...뭔가 많은걸 담고 싶었는데 그걸 표현하는 법은 서툴었다.루즈하고 개연성이 부족하다.마지막 반전도 전혀 놀랍지 않다.예상하기 여러운 반전이지만놀랍지 않다 ,4
오늘 관람객 입니다결론은 실망 ㅜㅜ ,4
관람객배우의 연기는 좋으나 스토리라인이 후반부에 부실한듯 ,8
"지릴정도도 아니고 ㅈㄴ재밋지도않고.. 브금이 특이하고 나오는 타이밍이 엇박자이기에기괴하다고 느낄수있는데 , 영화 연출자체는 너무평범 그자체였다. ",4
관람객남자놈 쎈척은 다하고 고구마만 먹임 ,6
왠만한 공포물에 자극점이 높아졌는지 .. 뭔가 웃겼음. 소재는 약간 음모론 비슷한데 신선하단 느낌 아님. 반전은 예상 가능했음.. 아쉽단 느낌 ,6
메세지를 알아도 엉성한 느낌은 지워지지 않는다. 독특한 BGM만 기억속에 남을 뿐.. ,6
관람객솔직히 진짜 재미없다  ....관객들다 왜봤지 이러던데 ,2
겟아웃의 재미를 기대하면 크게 실망할 영화 ,2
가위 광고인가여...?보지마세여; ,1
관람객존나 재미없어요이렇게 막 만든 영화는 없었음돈주고 보기 아까움  그림자가 나타나 죽이는게 다임흑인 스릴러?개나줘버림 ,1
뭐가 다들 미쳤다는건지 ㅋㅋㅋ 알바생들이 미친듯 쓰레기영화임 개연성 0 놀래키려고만하고 자극만 주려고함 영화끝나고 머리에남는건 자극적인 장면뿐인데 재미없는 스토리때문에 머리속에서 자극적인 장면이 맴도는게 짜증이남 ,1
관람객그냥 그렇네요. 겟아웃보단 별로.. ,5
관람객음악 너무 좋지 않았나. ,8
자기들이 뭘본건지 재밌는지  자기느낌은 어떤지도 모르고 괜히 의미부여하고 해석하면서 남들한테 있는척 하고싶은 애들한테 딱맞는 영화 ,1
0점없나요? 반전은 개뿔 뻔하디뻔한 클리셰에 개연성도 떨어짐 그냥 코믹엽기호러물정도 b급도아닌 c급 d급영화설정과 스토리가 너무 뻔하다 색다른 걸 기대했다가 엄청 실망함 ,1
모호하고 이해하기 힘든 영화...비추겟아웃 보구 기대가 너무 컸나봐요 ㅜㅜ ,2
미쳤다...미쳤어 미친거야 ,10
관람객스토리가  앞과 뒤가 맞지않고 허접하다 ,8
"영화는 스릴있고 기괴하고 무서웠는데, 별점이 낮은이유는 이해할래야 이해할수없었던 개연성. 그좁은 복도에서 최소몇백명이 행위예술을? 동물은 누가 사육하며 옷은 어떻게 계속 바뀌고 해외여행이라도가면 국제행위예술? :::...",6
초반 30분정도 지나면 이게 스릴러인지 개그물인지 모르겠음 스토리도 중구난방이라 말하고 싶은건 알겠는데 전혀 공감이 안됨 ,1
관람객감독의 전작의 비해 상당히 난해한 느낌이었습니다.. ,6
겟아웃 보고 갔다가 영화중반에 극장에서 겟아웃함 ,3
겟아웃으로 재미좀보더니 드릅게 대충만들었단생각밖에안듬 개연성1도없고 엔딩도 노답임. 헛점투성이 겁나많은데 스포라 말못함내가이영화보고 다짐한게 스릴러공포는18세아님다신안본다 왜15세인줄알겟더라 그냥 이영화수준자체가 딱...,1
보지않아도 후회할일없는 영화~ ,2
관람객유튜버광고에낚이다ㅡㅡ ,1
진짜 미치게 소름끼치게 재미없고 지루하고 뛰쳐나가고싶다 내용은 무슨 비빔밥에 마요내즈와 식용유를 넣은거 마냥 개짬뽕이다 영화비 평균 2인 기준 2만원 이상 나올텐데 그돈으로 집에서 치킨이나 족발 먹으세요 제발 부탁이...,1
Slipknot 의 뮤비한편을 보는줄 정신병 걸리겠다. 그렇지만 무섭다.오싹하다.소름돋는다. ,10
관람객질질끌어서 조금 지루햇음 ,4
겟아웃은 확실히 쪼는맛?이 있었는데 이번은 어느순간 약간 코믹? 느낌도 나고 생각보다 긴장감 떨어지고 별로..초반만 긴장했음 ,4
관람객겟아웃보다 한 세수아래....살짝돈아까움 ,6
이영화 만든거 겟아웃 만든 감독의 그림자냐ㅈㄴ 실망했다 ,1
무서우라고 만든건지 웃기라고 만든건지.. 스릴러도 코미디도 아닌 난잡하고 난해하고 난감한 영화. 많은 메시지를 담고싶었던 감독의 욕심은 알겠지만 관객에게 전달되지 않는 메시지가 무슨 의미가 있을지.. 아까운 시간과 ...,1
"기대감만 오지게 높여놓고 말아먹음. 은유와 상징이 많지만 감독이 그걸 납득할 수 있게 녹여내지 못하고, 환상의 상황이더라도 설정 안에서는 개연성이 있어야 하는데 개나 줘버림. 자기 아이디어에 도취되어 섬세하게 설명하...",1
선발대입니다 진짜 보면 후회합니다 ,4
관람객김민교씨 연기 잘하시던데요 ,6
"이거 보다가 정신병 걸리는 줄 알았네요. 아무 죄 없는 사람들 죽이고 , 개연성은 당연히 쥐뿔도 없구요 반전은 너무 뻔합니다. 그냥 싸이코 영화같습니다 .저라면 지인분들한테 절대 추천 안 합니다. ",1
설정이 너무나도 부실했습니다...때문에 몰입보다는 그래서 뭔데..? 납득가게 설명은 언제해줄건데..? 하는 생각만 품고 봤네요당연히 무섭지도 않았고 나중엔 어이없어서 웃었죠 ,2
ㅂㅅ같은 영화. 개노답 ㅋㅋㅋㅋ ,1
한마디로 이 영화는 쓰레기 입니다 2시간 내내 마지막 5분을 위해서  달리는데 ㅡ그 중간중간 감독이 만들어놓은 설정이나 장치들이 1도 의미 없습니다 왜? 개연성도 없을뿐더러 설정 자체도 안 무서우니깐. 조던 필 이제...,1
잼따ㅋㅋㅋㅋ 중간중간 조크도 좋음 ,10
관람객어스는 공포영화를 가장한 시사영화입니다 ,8
일점도 아까움 혈압 낮으면 추천 ㅎㅎ 역대급 혈압 ,1
관람객500원 회수용이야 배민용 ,2
관람객아 시간언제가나 재고있었음 ,2
관람객감독의 전 작품인 겟아웃 기대하고 봤으나 거기엔 못 미친 어스. ,7
별한개도 아깝별한개도 아깝별한개도 아깝별한개도 아깝 ,1
평점 알바들 겁나 많네 드루킹급시간아까움 ,2
