review,score
2.편을 제작하겠다는 강력한 의지 ,7
다 모르겠고 흑형 핏 살아숨쉬어 ,10
아만다 진짜 상여자임...존멋..간지오짐 ㅠㅠㅠㅠ잔인하고자극적인장면없어서 재밌게봄 ,8
자막에 상금 1만달러라고 오타있었어요 1만달러면 1000만원이라 상금이 싸다생각했는데  100만 달러였네요 ,5
관람객상금안줘서 빡친다 인간적으로 줄건줘야지 ,10
조조로 봤는데 영화관에 혼자있어서 내가 방탈출하게 만드는 대리체험 영화 ,10
모두가 예 할때 아니오 할 수 있는 용기 ,8
난 오히려 잔인하지않고 스릴있어서 좋았음! 볼만한 영화예요 ,8
와 방탈출 진짜 좋아하는데 영화 개꿀잼임ㅋㅋㅋㅋ ,10
초반부터 몰입감 쩌니까 오프닝 놓치지 마십시오 ,9
잔인하지않은 쏘우느낌? ,8
밍... 난 완전 재밌었는데 이런 탈출영화 넘좋 하 ,10
비수기 극장가에 단비같은 영화. 간만에 흥미롭게 본 영화. ,10
"오히려 질질 안 끌고, 빠른전개가 너무 좋았음. 지루하지않고, 꽤 잘만든 영화. 2편이 기대되는 영화. 실제로 방탈출게임 좋아하시는분은 무조건 추천. ",8
영화 자체가 노잼인건 아닌데 퍼즐 푸는 재미가 하나도 없음.시리즈로 만들 생각인거 같은데 딱 프롤로그 느낌나서 그정도로만 기대하고 볼만한 킬링타임용.2편 기대중. ,7
청소년용 큐브라고 보시면 됩니다 이런장르 관심있지만 잔인할까봐 못봤던 분들은 이걸 보세요 절대 후회안해요 ,10
수수께끼를 푸는데 너무 휙휙 푼다..흐음~~ 한번하더니 아!!  하는 느낌이랄까 ,6
관람객초반엔 몰입이 굉장히 잘되었다가 마지막에 살짝 뒤엉킨 느낌이 들어서 살짝 아쉬웠네요 큐브만큼은 아니지만 나름 재미있게 봤습니다ㅎㅎ ,8
큐브 순한맛. 아만다 존예존멋 ㅜㅜ ,7
관람객정말 별로 기대 안하고 보러갔는데 문제 푸는 과정도 재밌고 신박했으며 쓸데없이 잔인하거나 그런 장면없이 꿀잼이었다. 2편도 기대된다. ,10
이상하지는 않았고 나름 재미있음 후속작 나오면 보고싶긴 함 ,10
알바 아니구용 전 재밌었어용 ,10
관람객2까지 생각해서 만든거같은데개인적으로 이런류 영화는 큐브가 최고인듯..ㅎㅎ그래도 나름대로 볼만해요! 딱 잔인하고 무서운거 잘 못보는데 보고는 싶어하는 분들 추천! ,7
조이가 다 했음. 조이 없었으면 다 죽었다 ,8
요거 재밌음ㅋㅋㅋ 꽤 스릴있음 ,10
애인이랑 보고내려오다 에스컬레이터 갑자기 돌아가서 개놀랬네.. ,10
이스케이프룸= 지루할틈없는 영화 ,8
영화 10억 + 헝거게임 + 큐브 역시나 시리즈로 나누네요 또 기다려야하네 ,8
손발에 땀이나 죽는줄.. ,10
여전사 아만다가 참 멋있는 캐릭터였는데 빨리 죽으니 아쉬웠어요... ,8
전문가가 와도 탈출 못해ㅠ 으어어허엉 ,10
관람객난 개꿀잼 재밋게 봄 레알 ,10
"몰입감은 좋았으나 시작에 비해 끝이 너무 아쉬운 영화...풀리지 않는 떡밥이 너무 많고 뜬금없는, 뭔가 이해하기 어려운 장면들이 많았다. 그러고선 오글거리는 유치함으로 마무리...후속작 낼거면 신중하시길. 조이가 총...",3
마지막에 여주 소리지를 때 같이 지르고 싶었딘 ,7
관람객생각보다 너무 재밌게봣는데 방탈출카페는 한동안 무서워서 못갈듯ㅋㅋㅋㅋ ,10
"정말 재밌긴한데, 애초에 그들만이 이기는 게임에 산소통을 뒀을리가 없지않나 싶어서 조이가 살아난건 좀 억지였다는 느낌이 들었음 ",9
이거 잘 보고왔음~흑인여자애 똑똑해서 맘에 들었다 ,8
관람객시간킬링용으로 딱 좋습니다. 영화관에서 보면 4D본 것 처럼 머리가 어질어질해서 나와요. 재미는 있습니다. ,10
솔직히 쫄렸다...ㅇㅈ? ,10
생존자들 끼리 모아서 2탄나올듯 소롬 ㅎㄷㄷ 직쏘개 언제부터 부자임 ,10
관람객그 다음 편 기대가 됩니다요 ,10
재밌게봤는뎀... 브금선정을 진짜 잘한거같음 ,10
이정도면 보러갈만함~~ ,9
관람객 짱재미따룽 또보고싶다룽 ,10
어제 저녁에 보고왔는데 재밌어요!주인공들도 연기 다 잘하고ㅋㅋㅋㅋ 조이 귀여움 ,10
아만다 8번 공던지기는 정말 명장면 ,8
와 나는 ㄹㅇ개꿀재무아 다한증이라 손에 땀 에바였음요 다한증있으신분들 휴지나 암튼 닦을거 필수임요 저 혼자 손에다 시원한바람 불고 있었다니깐여 전 개꿀잼 또보고셒음 ,10
아쉬움이 많은 영화입니다.쏘우랑 비교를 하시는분들도 있는데훨씬 못미치는것 같습니다. ,6
심장이 쫄깃쫄깃ㅎㅎ목동 메가박스 09시 10분 G열 6번자리에서 보았습니당 ,10
이상하지는 않았고 나름 재미있음 후속작 나오면 보고싶긴 함 ,10
관람객재밋엇어요 ㅎ 왠지 2편이 나올거같은예감 ,10
