review,score
남자셋이손잡고봤다... ,10
이런게 진정한 공포 아닐까나?ㅎㅎ 무조건 귀신 괴물 나와야 공포영화라고 생각 안함. 이런 분위기와 소리로 공포 느낌을 주는게 진정한 공포영화라고 생각함ㅎㅎ 분위기가 진짜 뭔가 나올꺼같은 음산함.......좋았움ㅎㅎ ,10
아.. 무서운 장면 안나온다며.. 이리 무서운 영화 처음보내 ,10
"와우~이거야말로 진정한 공포영화다....보는내내 소름이 오싹...보시면 후회하실겁니다,,,너무 무서워서,,,,공포영화 좋아하시는분은 꼭 보세요~ ",10
낮의 소중함을 알게해준 영화였다 ,8
간만에 찾아온 공포가 이리 무서울줄이야ㅋㅋ ,9
자신이 혈압이 높다 심장이 안좋다 하는분들은 조조로 보시거나 안보시길 권함 20대 중반으로써 자대배치 받을때 빼고 이런 공포는 처음 ,9
최고다 ,10
누가 무서운장면없데ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ,10
아 진짜 옷장위에 귀신.. 진짜 때리고 싶어.. 개쫄았어 ,10
진짜 무섭고 다좋았는데 관객들 수준이진짜  무서운장면 나와서 잠깐 시끄러운건 상관없는데 집중해야될때도손뼉을치지않나 욕을하질않나 인물들이 귀신소리 따라가면 가지말라고 크게말하질않나 진짜 다른사람들생각해서 그러지좀마라 ...,10
왠놈이 비명 지르는 바람에 박장대소했네 ㅋㅋㅋㅋㅋ ,10
롯데시네마에서 조조로 혼자봤다..  아무도 없이 ㅡㅡ 진짜 지린다 넘넘 무섭다응  ㅎㄷㄷ.. ,10
아역배우들 예쁘더라 ,5
무서운 장면 없이 무섭다는 소리는 헛소문. 초혐오 ㄷㄷ ,7
공포감을 주는 효과가 굉장하네요 엑소시스트랑 파라노말액티비티를 섞은 느낌 돈이 아깝지 않네요 ,9
관객이 몇명 없어서 내옆자리에 귀신이 앉아있나해서 몇번을 확인했음.후덜덜 ,10
아니어떻게처음부터끝까지무서울수있죠??이때까지본공포영화들은 무서운것도아니라고 생각하게되는 영화다 최근 숨바꼭질이랑은 비교도안되게 무서운듯해요 ,10
자고잇을때 누가내발잡아댕길거같다... ,8
존나무서워 무서운장면이업다고 개구라침 존나 다들보고 한번지려보ㅏ ,9
"귀아픈 사운드와 흉칙한 귀신 얼굴을 비춰서 놀라게 하는 등의 공포감 조성, 후반부의 엑소시즘 장면은 마음에 들지 않았지만 전체적으로 공포를 느끼기에는 괜찮았던 것 같습니다. 개인적으로 제일 소름돋은 것은 스탭롤이 올...",8
나랑 숨바꼭질 할래요?(짝.짝.) ,10
심장이 바운OO운스 ,10
"조금씩 조여 오는 공포감과 후반부의 짠~함까지...극의 전개가 매끄러우며, 과하지도 부족하지도 않은, 딱! 적당한 연출!! 공포 외에 나에게 불편함을 주는 것은 없었다~ ",7
나도 롯시에서 조조로혼자봄 오줌쌀정도는아니었구 두려움에 북받쳐서 클라이막스에서 울정도?여주인공이 신뢰가가는 배우라이번영화도 좋더이다 ,9
혼자가지마세요 꼭1인이상같이가셈내가봤던공포중베스트1 ,10
뻔한 내용을 잘 풀어 만드는 것도 재능이다. ,8
"최근본 공포중에서는 최고, 밑밥이 너무 많긴 하지만 이이상의 영화는 기대하기 힘들지 않을까? ",9
남자친구랑 보다가 기절하는줄 알았습니다. 영화에서 밤이되면 그 긴장감..말로 표현할수없습니다.. 절대혼자보지마세요 ㅋㅋ 친구나 연인이랑 같이보세요 ,10
졸라 밤낮없이 무섭냐 ,10
명불허전 ,10
예고편은 초반부에 불과 합니다 근래 본 공포영화중에는 최고네요 ,10
영화 보는내내 긴장해서 기빨리는 느낌.. 막판에 기운이 다 빠짐..... ,10
진짜 지린다.. 영화다보고나왔는데 아직도 가슴이 콩닥콩닥거림 ,10
너무 무서워서 후반부엔 짜증까지났음ㅜㅜ가도가도 무서움 계속무서움ㅜㅜ 끝까지 무서움ㅜㅜ ,10
